# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 60124001
# NOM_USUEL= CANDOR
# LATITUDE (°) = 49.628
# LONGITUDE(°)= 2.894
# ALTITUDE (m) = 69
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-05-31
# NUM_SERIE= MRR060124001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 196912
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;69;1
195502;54.4;1
195503;23.7;1
195504;18.2;1
195505;88.5;1
195506;59;1
195507;73.2;1
195508;32.7;1
195509;33;1
195510;27;1
195511;22.9;1
195512;108.7;1
195601;63.3;1
195602;13;1
195603;13.3;1
195604;54.5;1
195605;19.7;1
195606;97.5;1
195607;49.5;1
195608;79.2;1
195609;76.3;1
195610;54.1;1
195611;54.9;1
195612;53.8;1
195701;26.8;1
195702;136.3;1
195703;28.6;1
195704;26.4;1
195705;26.7;1
195706;82.2;1
195707;57.7;1
195708;50.2;1
195709;125.1;1
195710;27.5;1
195711;35.9;1
195712;54.8;1
195801;61.3;1
195802;115.1;1
195803;26.9;1
195804;33.9;1
195805;55.7;1
195806;90.4;1
195807;127.6;1
195808;101.7;1
195809;61;1
195810;47.8;1
195811;51.8;1
195812;75.6;1
195901;61.7;1
195902;2.7;1
195903;64.3;1
195904;78.9;1
195905;11.5;1
195906;63.2;1
195907;17.3;1
195908;26;1
195909;4.6;1
195910;74.2;1
195911;52;1
195912;72.2;1
196001;43.1;1
196002;41;1
196003;71.8;1
196004;12.7;1
196005;18.6;1
196006;51.7;1
196007;92.2;1
196008;87.6;1
196009;52;1
196010;113.8;1
196011;78.1;1
196012;70.6;1
196101;89.7;1
196102;73.7;1
196103;4.2;1
196104;61.9;1
196105;21.6;1
196106;51.2;1
196107;99.7;1
196108;13;1
196109;80.5;1
196110;100.1;1
196111;62.3;1
196112;52;1
196201;70.3;1
196202;37.2;1
196203;56.3;1
196204;52.1;1
196205;43.2;1
196206;23.9;1
196207;68.7;1
196208;60.9;1
196209;38.7;1
196210;43.8;1
196211;59.6;1
196212;48;1
196301;10.4;1
196302;5.3;1
196303;56.9;1
196304;43.8;1
196305;67.9;1
196306;126.5;1
196307;27.3;1
196308;127.5;1
196309;24.7;1
196310;38.9;1
196311;99.1;1
196312;10.6;1
196401;29.3;1
196402;35.2;1
196403;72.2;1
196404;32;1
