# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 40282003
# NOM_USUEL= ST-SEVER
# LATITUDE (°) = 43.735
# LONGITUDE(°)= -0.56
# ALTITUDE (m) = 89
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-01-01
# NUM_SERIE= MRR140282003
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195601 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;88.8;1
195602;7;1
195603;11.2;1
195604;36.8;1
195605;59.9;1
195606;23;1
195607;75.3;1
195608;115.3;1
195609;23.5;1
195610;59.7;1
195611;67.7;1
195612;35.6;1
195701;36.5;1
195702;108.8;1
195703;75.3;1
195704;73.4;1
195705;93.8;1
195706;90.4;1
195707;80.9;1
195708;34.3;1
195709;57.2;1
195710;24.8;1
195711;81.9;1
195712;66.6;1
195801;87.9;1
195802;24.3;1
195803;162.6;1
195804;62.1;1
195805;97.7;1
195806;72.2;1
195807;136.5;1
195808;67.6;1
195809;50.7;1
195810;43.1;1
195811;35.3;1
195812;138.6;1
195901;65.1;1
195902;2.8;1
195903;88.1;1
195904;111.9;1
195905;66.4;1
195906;52.5;1
195907;76.2;1
195908;140.1;1
195909;278.4;1
195910;128.3;1
195911;142;1
195912;226.7;1
196001;70.1;1
196002;49.5;1
196003;90.8;1
196004;17.1;1
196005;101.9;1
196006;88.4;1
196007;73.4;1
196008;122.7;1
196009;210.7;1
196010;237.3;1
196011;145.6;1
196012;206.4;1
196101;174.3;1
196102;57.8;1
196103;0;1
196104;93.5;1
196105;43.8;1
196106;61.6;1
196107;27.9;1
196108;36.3;1
196109;53;1
196110;130.8;1
196111;113.2;1
196112;68.7;1
196201;76.5;1
196202;64.5;1
196203;84.6;1
196204;63.7;1
196205;92.1;1
196206;17.7;1
196207;25.7;1
196208;35.3;1
196209;61.7;1
196210;58.5;1
196211;106;1
196212;131.9;1
196301;67.1;1
196302;113.5;1
196303;110;1
196304;44.2;1
196305;38.3;1
196306;77.7;1
196307;51.9;1
196308;149.7;1
196309;88.2;1
196310;47.4;1
196311;110.3;1
196312;34.6;1
196401;8.5;1
196402;84.7;1
196403;75.2;1
196404;83.3;1
196405;90.3;1
196406;21.9;1
196407;10;1
196408;23.4;1
196409;40.2;1
196410;252.9;1
196411;51;1
196412;62.5;1
196501;112.4;1
196502;33.6;1
196503;86.3;1
196504;86.9;1
196505;77.9;1
196506;66.1;1
196507;55.1;1
196508;55.7;1
196509;194.8;1
196510;31.3;1
196511;181.7;1
196512;232.2;1
196601;78;1
196602;132.2;1
196603;27.6;1
196604;101;1
196605;55.9;1
196606;104.4;1
196607;55.1;1
196608;40.4;1
196609;80.4;1
196610;109.2;1
196611;123.3;1
196612;180.5;1
196701;72.5;1
196702;60.2;1
196703;88;1
196704;31.5;1
196705;81;1
196706;47.1;1
196707;44.8;1
196708;33.7;1
196709;81.8;1
196710;80.6;1
196711;174.2;1
196712;81.1;1
196801;103.5;1
196802;56.4;1
196803;27.4;1
196804;76.2;1
196805;132.5;1
196806;56.5;1
196807;27.3;1
196808;92.3;1
196809;120.2;1
196810;82.8;1
196811;38.3;1
196812;176.7;1
196901;48.1;1
196902;87.2;1
196903;113.6;1
196904;110.8;1
196905;79.4;1
196906;86;1
196907;50.9;1
196908;69.2;1
196909;98.2;1
196910;9.7;1
196911;61.2;1
196912;111.9;1
197001;91.1;1
197002;118.1;1
197003;65.5;1
197004;102.5;1
197005;74.2;1
197006;95.9;1
197007;12.8;1
197008;53.9;1
197009;17.2;1
197010;60.6;1
197011;117.3;1
197012;25;1
197101;142.1;1
197102;98.2;1
197103;72.1;1
197104;102.9;1
197105;103.7;1
197106;111.3;1
197107;93.9;1
197108;79.1;1
197109;39.8;1
197110;15.7;1
197111;170.2;1
197112;57.4;1
197201;110.1;1
197202;124.8;1
197203;62.2;1
197204;85;1
197205;62.4;1
197206;86;1
197207;4.9;1
197208;155.4;1
197209;53.4;1
197210;54.6;1
197211;44.3;1
197212;97.3;1
197301;100.1;1
197302;115.7;1
197303;30.8;1
197304;44.5;1
197305;79.7;1
197306;104.7;1
197307;134.1;1
197308;13.8;1
197309;99.2;1
197310;49.5;1
197311;72.9;1
197312;88;1
197401;49.6;1
197402;95.5;1
197403;123.8;1
197404;66.6;1
197405;91.5;1
197406;46.4;1
197407;45.4;1
197408;55.3;1
197409;117.9;1
197410;155.6;1
197411;106.1;1
197412;32.8;1
197501;77.4;1
197502;22.7;1
197503;133.5;1
197504;72.9;1
197505;132.7;1
197506;53.1;1
197507;12.3;1
197508;58.1;1
197509;127;1
197510;53.6;1
197511;143.2;1
197512;27.6;1
197601;34.5;1
197602;59.4;1
197603;89.3;1
197604;76.5;1
197605;33.9;1
197606;10.8;1
197607;73.6;1
197608;140.4;1
197609;104.9;1
197610;154.3;1
197611;151.1;1
197612;122.3;1
197701;88;1
197702;120.1;1
197703;78.4;1
197704;55.5;1
197705;199;1
197706;130.5;1
197707;71.4;1
197708;142.6;1
197709;2.5;1
197710;63.5;1
197711;72.8;1
197712;47.4;1
197801;184.5;1
197802;108.6;1
197803;142;1
197804;113.6;1
197805;74.1;1
197806;84.4;1
197807;55.1;1
197808;28.1;1
197809;75.5;1
197810;10.2;1
197811;21.6;1
197812;122.5;1
197901;174;1
197902;96.4;1
197903;97;1
197904;134.2;1
197905;131;1
197906;48.4;1
197907;57.1;1
197908;41;1
197909;57.7;1
197910;63.7;1
197911;94.6;1
197912;101;1
198001;84.4;1
198002;101.8;1
198003;109;1
198004;9.9;1
198005;220.9;1
198006;73.4;1
198007;57.9;1
198008;28.3;1
198009;30.6;1
198010;208.1;1
198011;53.4;1
198012;128.1;1
198101;102.1;1
198102;73.4;1
198103;65.2;1
198104;72.7;1
198105;127;1
198106;25;1
198107;60.2;1
198108;51.2;1
198109;130.3;1
198110;148.2;1
198111;38.4;1
198112;298.6;1
198201;75;1
198202;80.1;1
198203;105.7;1
198204;1.7;1
198205;57.1;1
198206;65.7;1
198207;31.6;1
198208;66.7;1
198209;78.6;1
198210;260;1
198211;121.4;1
198212;182.6;1
198301;32;1
198302;63.9;1
198303;90.6;1
198304;120.6;1
198305;73.2;1
198306;43.7;1
198307;93.5;1
198308;111.5;1
198309;44.5;1
198310;47.6;1
198311;45.1;1
198312;71.5;1
198401;168;1
198402;147;1
198403;99.2;1
198404;41.2;1
198405;108.4;1
198406;70.9;1
198407;12.5;1
198408;50.8;1
198409;112.2;1
198410;85.5;1
198411;152.1;1
198412;93.8;1
198501;94.8;1
198502;81;1
198503;128.9;1
198504;62.6;1
198505;125.5;1
198506;68.7;1
198507;74.2;1
198508;39.9;1
198509;4.6;1
198510;36.7;1
198511;68.9;1
198512;69.6;1
198601;185;1
198602;107.4;1
198603;78.5;1
198604;178.2;1
198605;86.9;1
198606;25.4;1
198607;18.5;1
198608;79.4;1
198609;73.3;1
198610;86.7;1
198611;89.5;1
198612;102.6;1
198701;42.4;1
198702;120.2;1
198703;66.8;1
198704;87.4;1
198705;38.4;1
198706;128.5;1
198707;93;1
198708;69.2;1
