# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 30339001
# NOM_USUEL= MONT AIGOUAL
# LATITUDE (°) = 44.121
# LONGITUDE(°)= 3.582
# ALTITUDE (m) = 1567
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR230339001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 196101 201912
# Date(s) de rupture(s) d'homogénéité : 196612 199112 200012
#     Periode homogénéisée  196101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;112.2;1
196102;67.4;1
196103;0.2;1
196104;106.9;1
196105;148.3;1
196106;41.7;1
196107;84.1;1
196108;14;1
196109;205.6;1
196110;263.9;1
196111;418.2;1
196112;100.7;1
196201;161.1;1
196202;107.5;1
196203;239.7;1
196204;127.1;1
196205;74.8;1
196206;33.9;1
196207;23.9;1
196208;27.8;1
196209;122.5;1
196210;233.8;1
196211;466.3;1
196212;192.3;1
196301;185.4;1
196302;161.3;1
196303;104.3;1
196304;219;1
196305;70.5;1
196306;197;1
196307;75.2;1
196308;216;1
196309;190;1
196310;544.8;1
196311;265.5;1
196312;233.2;1
196401;86.4;1
196402;743.4;1
196403;156.7;1
196404;241;1
196405;269.3;1
196406;126;1
196407;24.5;1
196408;60.4;1
196409;152.9;1
196410;207.7;1
196411;143.3;1
196412;123.5;1
196501;132.2;1
196502;47.2;1
196503;190.1;1
196504;48;1
196505;75;1
196506;46.9;1
196507;53.5;1
196508;23.6;1
196509;538.3;1
196510;467.3;1
196511;236.2;1
196512;167.4;1
196601;147.5;1
196602;188.7;1
196603;22.8;1
196604;159.9;1
196605;164.9;1
196606;208.6;1
196607;57;1
196608;43.1;1
196609;132;1
196610;300.3;1
196611;274.9;1
196612;68.1;1
196701;161.3;1
196702;176.2;1
196703;223.9;1
196704;63.7;1
196705;141.7;1
196706;31.4;1
196707;32.6;1
196708;131.3;1
196709;61.6;1
196710;126.1;1
196711;274.1;1
196712;33.4;1
196801;88.7;1
196802;192.1;1
196803;38;1
196804;292.7;1
196805;205.8;1
196806;160.8;1
196807;39.9;1
196808;196.9;1
196809;118.6;1
196810;194.4;1
196811;402.6;1
196812;204.3;1
196901;153.3;1
196902;219.6;1
196903;366.1;1
196904;257.4;1
196905;353.5;1
196906;142.9;1
196907;61.1;1
196908;65.8;1
196909;321.2;1
196910;493.2;1
196911;279.2;1
196912;137.7;1
197001;519.2;1
197002;125.4;1
197003;110.1;1
197004;64.9;1
197005;173.7;1
197006;144;1
197007;46.3;1
197008;49;1
197009;94.5;1
197010;388.1;1
197011;122.9;1
197012;52.9;1
197101;456.6;1
197102;31.3;1
197103;147;1
197104;437.3;1
197105;153;1
197106;178.6;1
197107;67.9;1
197108;47.8;1
197109;88;1
197110;74.2;1
197111;69.7;1
197112;203.8;1
197201;458.3;1
197202;516;1
197203;325.9;1
197204;62.6;1
197205;126.2;1
197206;223.5;1
197207;26.1;1
197208;91;1
197209;239.4;1
197210;332.2;1
197211;110.1;1
197212;284.1;1
197301;249.7;1
197302;93;1
197303;19.2;1
197304;50.2;1
197305;140.1;1
197306;132.7;1
197307;113.3;1
197308;27.4;1
197309;49.9;1
197310;149.3;1
197311;279.3;1
197312;440.3;1
197401;298.7;1
197402;176.6;1
197403;286.1;1
197404;179.5;1
197405;141.2;1
197406;96.7;1
197407;44.4;1
197408;53.2;1
197409;278.1;1
197410;69.3;1
197411;288;1
197412;44.1;1
197501;296.1;1
197502;295.5;1
197503;218.1;1
197504;41.3;1
197505;177.6;1
197506;54.4;1
197507;40.1;1
197508;95.1;1
197509;199.4;1
197510;24.8;1
197511;95.7;1
197512;202.9;1
197601;49;1
197602;488.4;1
197603;59;1
197604;217.9;1
197605;75.6;1
197606;4.2;1
197607;83;1
197608;226.7;1
197609;270.5;1
197610;728.4;1
197611;219.5;1
197612;509.1;1
197701;365.9;1
197702;142.4;1
197703;143.8;1
197704;47.3;1
197705;277.9;1
197706;270.9;1
197707;220.3;1
197708;169.6;1
197709;21;1
197710;748.4;1
197711;64;1
197712;278.8;1
197801;131.6;1
197802;283.8;1
197803;280.9;1
197804;303.2;1
197805;241.5;1
197806;94.2;1
197807;29.7;1
197808;19.3;1
197809;41.1;1
197810;13.1;1
197811;33.3;1
197812;343.1;1
197901;348.5;1
197902;139.9;1
197903;204.6;1
197904;197.5;1
197905;180.3;1
197906;29.2;1
197907;45.8;1
197908;76.9;1
197909;40.4;1
197910;912.3;1
197911;43.1;1
197912;139.8;1
198001;120.1;1
198002;156.1;1
198003;150.4;1
198004;138.7;1
198005;232.1;1
198006;69.7;1
198007;38.7;1
198008;101;1
198009;163.8;1
198010;201.4;1
198011;181.8;1
198012;35.6;1
198101;81.1;1
198102;55.3;1
198103;269.9;1
198104;45;1
198105;254.3;1
198106;226.1;1
198107;36.6;1
198108;15.6;1
198109;142.2;1
198110;173.1;1
198111;17.7;1
198112;391.2;1
198201;249.9;1
198202;199.8;1
198203;72.3;1
198204;109.7;1
198205;77.1;1
198206;119.4;1
198207;207.5;1
198208;64.9;1
198209;104.8;1
198210;234.6;1
198211;657.8;1
198212;108.3;1
198301;14.4;1
198302;107.8;1
198303;61.7;1
198304;441.1;1
198305;140.1;1
198306;88.2;1
198307;2.3;1
198308;173.2;1
198309;86.6;1
198310;105.2;1
198311;137.8;1
198312;184.7;1
198401;121.7;1
198402;69.8;1
198403;176.7;1
198404;23.4;1
198405;380.5;1
198406;71.1;1
198407;24.1;1
198408;220.4;1
198409;240.6;1
198410;223.3;1
198411;719.3;1
198412;87.3;1
198501;51.6;1
198502;53.6;1
198503;67.6;1
198504;221.2;1
198505;186.1;1
198506;90.5;1
198507;29.8;1
198508;50.7;1
198509;1.7;1
198510;97.4;1
198511;55.5;1
198512;168;1
198601;158.9;1
198602;193.3;1
198603;91.1;1
198604;326.9;1
198605;90.3;1
198606;18.9;1
198607;23.5;1
198608;61.3;1
198609;234.3;1
198610;346.9;1
198611;604.5;1
198612;171.5;1
198701;53;1
198702;223.4;1
198703;66.9;1
198704;251.6;1
198705;59.8;1
198706;99.9;1
198707;62.1;1
198708;87.1;1
198709;20.9;1
198710;742.7;1
198711;105.4;1
198712;268.8;1
198801;504;1
198802;71.4;1
198803;117.7;1
198804;243.1;1
198805;308.1;1
198806;134.1;1
198807;45.9;1
198808;33.2;1
198809;29.3;1
198810;262.2;1
198811;137.4;1
198812;64.6;1
198901;42.8;1
198902;116.6;1
198903;32.8;1
198904;283.5;1
198905;40.1;1
198906;47.1;1
198907;13.3;1
198908;42.9;1
198909;103.8;1
198910;119.6;1
198911;514.2;1
198912;64;1
199001;77.1;1
199002;151.7;1
199003;12.3;1
199004;101.9;1
199005;113;1
199006;175.9;1
199007;34.4;1
199008;39.8;1
199009;45.9;1
199010;471.5;1
199011;78.5;1
199012;49.8;1
199101;73.1;1
199102;120.5;1
199103;505.4;1
199104;43.8;1
199105;38.8;1
199106;59.3;1
199107;83.9;1
199108;36.5;1
199109;90.8;1
199110;216.9;1
199111;82.2;1
199112;38;1
199201;158.2;1
199202;93.5;1
199203;58.9;1
199204;68.3;1
199205;242.3;1
199206;348.8;1
199207;78.6;1
199208;49.1;1
199209;331.3;1
199210;174.2;1
199211;80.2;1
199212;223.1;1
199301;12.4;1
199302;65.1;1
199303;70.4;1
199304;438.8;1
199305;226.2;1
199306;112.3;1
199307;67.6;1
199308;28.3;1
199309;271;1
199310;324;1
199311;391.9;1
199312;111.7;1
199401;153.6;1
199402;380.2;1
199403;12.6;1
199404;179.1;1
199405;149.7;1
199406;69.5;1
199407;94.5;1
199408;42;1
199409;506;1
199410;367.5;1
199411;551.4;1
199412;119;1
199501;133.2;1
199502;88;1
199503;28;1
199504;117.2;1
199505;138.7;1
199506;15.8;1
199507;50.4;1
199508;56.9;1
199509;344.1;1
199510;579.1;1
199511;439.7;1
199512;512.9;1
199601;1232.3;1
199602;550.4;1
199603;226.5;1
199604;170.1;1
199605;211.4;1
199606;63;1
199607;53.2;1
199608;94.7;1
199609;197.2;1
199610;319.1;1
199611;373.4;1
199612;545.2;1
199701;306.1;1
199702;25;1
199703;0;1
199704;16.7;1
199705;108.9;1
199706;192.4;1
199707;74.5;1
199708;164.8;1
199709;46.1;1
199710;155.7;1
199711;580.7;1
199712;569.5;1
199801;229;1
199802;30.3;1
199803;35.4;1
199804;287.7;1
199805;210.2;1
199806;42.4;1
199807;13.8;1
199808;59.6;1
199809;354.7;1
199810;60.3;1
199811;45.3;1
199812;299;1
199901;137.8;1
199902;78.6;1
199903;161.9;1
199904;122.4;1
199905;373.7;1
199906;35.8;1
199907;29.1;1
199908;66.7;1
199909;221;1
199910;335.9;1
199911;263.2;1
199912;84.8;1
200001;29.8;1
200002;50.4;1
200003;86.4;1
200004;286.4;1
200005;183;1
200006;90.8;1
200007;53.6;1
200008;43.8;1
200009;484.4;1
200010;125.4;1
200011;256.1;1
200012;473.2;1
200101;242.6;1
200102;52.4;1
200103;172.8;1
200104;134.8;1
200105;112.4;1
200106;137.4;1
200107;146.2;1
200108;23.4;1
200109;151.2;1
200110;511.6;1
200111;46.2;1
200112;12;1
200201;54;1
200202;93.6;1
200203;93.8;1
200204;123;1
200205;155;1
200206;110.6;1
200207;41.8;1
200208;128.4;1
200209;224.8;1
200210;372.2;1
200211;301.4;1
200212;352.8;1
200301;78.8;1
200302;232.4;1
200303;26.2;1
200304;171.6;1
200305;85;1
200306;22.8;1
200307;19.8;1
200308;19.4;1
200309;301.8;1
200310;221.8;1
200311;749.8;1
200312;371.8;1
200401;164.4;1
200402;191.4;1
200403;266.2;1
200404;359.4;1
200405;49.2;1
200406;23.4;1
200407;17;1
200408;186;1
200409;55.8;1
200410;350.4;1
200411;60.4;1
200412;104.2;1
200501;28.2;1
200502;48.6;1
200503;44;1
200504;107.4;1
200505;65.8;1
200506;60.8;1
200507;2.4;1
200508;29.2;1
200509;268;1
200510;529.2;1
200511;192.6;1
200512;51.8;1
200601;346.6;1
200602;49;1
200603;103.2;1
200604;46.2;1
200605;62.8;1
200606;9.2;1
200607;49.2;1
200608;113.2;1
200609;500.6;1
200610;544;1
200611;170.8;1
200612;95.4;1
200701;69.8;1
200702;105.6;1
200703;28.6;1
200704;133.2;1
200705;189.4;1
200706;91.6;1
200707;38.2;1
200708;37;1
200709;62;1
200710;129.6;1
200711;415.4;1
200712;71.2;1
200801;449;1
200802;136;1
200803;107;1
200804;293.2;1
200805;498.4;1
200806;116.2;1
200807;40.2;1
200808;34.6;1
200809;25;1
200810;216.4;1
200811;413.8;1
200812;295.8;1
200901;92.8;1
200902;406.6;1
200903;61.4;1
200904;268.2;1
200905;50.8;1
200906;32.8;1
200907;39;1
200908;48.4;1
200909;44.4;1
200910;280.2;1
200911;96.6;1
200912;90.8;1
201001;153.8;1
201002;456.6;1
201003;240.4;1
201004;28.5;1
201005;147.2;1
201006;151.7;1
201007;15.7;1
201008;19.8;1
201009;72.5;1
201010;535.9;1
201011;156;1
201012;288.3;1
201101;91.9;1
201102;56.1;1
201103;516.5;1
201104;64.9;1
201105;42.5;1
201106;73.1;1
201107;128.3;1
201108;46;1
201109;15;1
201110;336;1
201111;811.3;1
201112;80.8;1
201201;29;1
201202;0.6;1
201203;25.5;1
201204;259.3;1
201205;181.4;1
201206;60.6;1
201207;77.7;1
201208;104;1
201209;105.5;1
201210;433.5;1
201211;207.6;1
201212;146.1;1
201301;122.4;1
201302;60.3;1
201303;494.3;1
201304;263.9;1
201305;238.9;1
201306;134.2;1
201307;140.2;1
201308;67.9;1
201309;135.7;1
201310;323.7;1
201311;151.3;1
201312;91.6;1
201401;265.4;1
201402;175.1;1
201403;39;1
201404;70.7;1
201405;208;1
201406;114.7;1
201407;179.6;1
201408;83.6;1
201409;252.5;1
201410;166.3;1
201411;591.3;1
201412;86.1;1
201501;52.4;1
201502;60;1
201503;83.3;1
201504;224.3;1
201505;33.3;1
201506;80;1
201507;10;1
201508;134.1;1
201509;282.2;1
201510;281.5;1
201511;166.6;1
201512;111.6;1
201601;141.2;1
201602;256.7;1
201603;81.3;1
201604;254.2;1
201605;284.2;1
201606;43.1;1
201607;75.1;1
201608;24.3;1
201609;146.5;1
201610;323;1
201611;450.7;1
201612;146.4;1
201701;183.4;1
201702;279.7;1
201703;156.5;1
201704;123.6;1
201705;123.1;1
201706;55.1;1
201707;34.5;1
201708;13.2;1
201709;26.6;1
201710;175.1;1
201711;198.6;1
201712;128.3;1
201801;412.7;1
201802;185.2;1
201803;323.8;1
201804;314.8;1
201805;342.7;1
201806;74.2;1
201807;68.2;1
201808;39.3;1
201809;6.3;1
201810;662.3;1
201811;576.8;1
201812;79;1
201901;45.3;1
201902;44.8;1
201903;96.8;1
201904;295.7;1
201905;94.6;1
201906;47;1
201907;47.9;1
201908;50.4;1
201909;99.2;1
201910;404.2;1
201911;332.8;1
201912;368.4;1
202001;105;0
202002;28.7;0
202003;22.8;0
202004;24.1;0
202005;111.3;0
202006;324.4;0
202007;1;0
202008;42.4;0
202009;244.1;0
202010;138;0
202011;146;0
202012;159.4;0
202101;63.2;0
202102;68.7;0
202103;21.3;0
202104;42.7;0
202105;155.7;0
202106;80;0
202107;89.8;0
202108;21.9;0
202109;77.5;0
202110;569.2;0
202111;138.7;0
202112;176.2;0
202201;46.1;0
202202;114.8;0
202203;236.3;0
202204;113.8;0
202205;11.8;0
202206;102.8;0
202207;6.2;0
202208;39.6;0
202209;115.4;0
202210;120.5;0
202211;134.9;0
202212;175;0
202301;74;0
202302;96.8;0
202303;128.8;0
202304;70.2;0
202305;106.8;0
202306;144.4;0
202307;25.7;0
202308;48.8;0
202309;254;0
202310;296.6;0
202311;140.7;0
202312;111.6;0
202401;78.2;0
202402;101.6;0
202403;513.9;0
202404;251.8;0
202405;197;0
202406;60.8;0
202407;48.9;0
202408;102.5;0
202409;146.5;0
202410;692.3;0
202411;159.7;0
202412;66.7;0
