# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 93048001
# NOM_USUEL= MONTREUIL
# LATITUDE (°) = 48.858
# LONGITUDE(°)= 2.46
# ALTITUDE (m) = 110
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-08-31
# NUM_SERIE= MRR093048001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 195601 201612
# Date(s) de rupture(s) d'homogénéité : 199912
#     Periode homogénéisée  195601 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;63.3;1
195602;9.3;1
195603;8.3;1
195604;60.1;1
195605;20.9;1
195606;66.7;1
195607;60.8;1
195608;95.1;1
195609;34.2;1
195610;60.8;1
195611;33.8;1
195612;32.6;1
195701;19.9;1
195702;84.3;1
195703;21.7;1
195704;24.5;1
195705;22.5;1
195706;117.3;1
195707;70.5;1
195708;47.2;1
195709;90;1
195710;25.2;1
195711;19.7;1
195712;34.7;1
195801;82.5;1
195802;99.2;1
195803;17.6;1
195804;66.6;1
195805;84.7;1
195806;125.2;1
195807;93.6;1
195808;74.7;1
195809;30.3;1
195810;52.1;1
195811;55.5;1
195812;60.4;1
195901;83.8;1
195902;0;1
195903;41.9;1
195904;70.1;1
195905;32.5;1
195906;24.1;1
195907;8.4;1
195908;21.6;1
195909;0.3;1
195910;52.7;1
195911;46.4;1
195912;81.2;1
196001;37;1
196002;38.1;1
196003;46.7;1
196004;10.2;1
196005;51;1
196006;90;1
196007;64.5;1
196008;80.6;1
196009;60.5;1
196010;128.6;1
196011;60;1
196012;59.3;1
196101;58.4;1
196102;40.5;1
196103;2.1;1
196104;35.8;1
196105;51.9;1
196106;31;1
196107;67.6;1
196108;3.6;1
196109;71.3;1
196110;61.2;1
196111;60;1
196112;42.1;1
196201;48;1
196202;24.5;1
196203;54.7;1
196204;34.1;1
196205;56.1;1
196206;21.4;1
196207;71.6;1
196208;34.2;1
196209;45.7;1
196210;32.5;1
196211;79.1;1
196212;46.1;1
196301;12.9;1
196302;15.2;1
196303;58.3;1
