# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 76647001
# NOM_USUEL= ST-ROMAIN-DE-C
# LATITUDE (°) = 49.523
# LONGITUDE(°)= 0.345
# ALTITUDE (m) = 110
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR076647001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 196012
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;98.3;1
195502;121.9;1
195503;24.5;1
195504;11.7;1
195505;77.7;1
195506;88.4;1
195507;32.3;1
195508;15.7;1
195509;65.4;1
195510;126.9;1
195511;20.3;1
195512;125.3;1
195601;107.7;1
195602;24;1
195603;24.1;1
195604;39.7;1
195605;17;1
195606;98.1;1
195607;73.4;1
195608;143.6;1
195609;55.6;1
195610;129.7;1
195611;71.8;1
195612;59.1;1
195701;41.6;1
195702;204;1
195703;57.4;1
195704;21.9;1
195705;45;1
195706;70.9;1
195707;81.6;1
195708;95.7;1
195709;152.1;1
195710;40.6;1
195711;27.4;1
195712;48.4;1
195801;135.5;1
195802;140.3;1
195803;38.8;1
195804;61.3;1
195805;115.1;1
195806;103.2;1
195807;26.7;1
195808;128.9;1
195809;47.5;1
195810;97.8;1
195811;100.1;1
195812;69.5;1
195901;151.4;1
195902;0;1
195903;56.7;1
195904;91.5;1
195905;61.5;1
195906;16.5;1
195907;49.7;1
195908;32.1;1
195909;13.5;1
195910;148.9;1
195911;110.7;1
195912;162;1
196001;67.6;1
196002;31.2;1
196003;97;1
196004;51.7;1
196005;23.7;1
196006;47.4;1
196007;73.1;1
196008;156.7;1
196009;71.4;1
196010;169.1;1
196011;116.5;1
196012;89.4;1
196101;147;1
196102;69.5;1
196103;13;1
196104;81.5;1
196105;25;1
196106;27.5;1
196107;80.5;1
196108;15.6;1
196109;81;1
196110;121;1
196111;99.5;1
196112;117.7;1
196201;112.5;1
196202;47;1
196203;64;1
196204;56;1
196205;40.5;1
196206;8.6;1
196207;51;1
196208;56.7;1
196209;107.1;1
196210;67.2;1
196211;206.2;1
196212;83.5;1
196301;19.6;1
196302;20.1;1
196303;79;1
196304;65.8;1
196305;55.4;1
196306;101.9;1
196307;33.3;1
196308;167.3;1
196309;70.4;1
196310;69.5;1
196311;160.3;1
196312;20.4;1
196401;19.2;1
196402;90.3;1
196403;91.9;1
196404;63.8;1
196405;48.2;1
196406;130.5;1
196407;33.2;1
196408;47.4;1
196409;46;1
196410;236.1;1
196411;93;1
196412;155.8;1
196501;140.4;1
196502;7.7;1
196503;121.4;1
196504;44.9;1
196505;35.5;1
196506;41;1
196507;92.5;1
196508;72.2;1
196509;162.9;1
196510;17.7;1
196511;128;1
196512;252.1;1
196601;94.7;1
196602;98.8;1
196603;47.2;1
196604;123.4;1
196605;76.6;1
196606;88;1
196607;118.1;1
196608;51.2;1
196609;28.5;1
196610;138;1
196611;156.2;1
196612;189.1;1
196701;51.1;1
196702;68.2;1
196703;64;1
196704;33.1;1
196705;123.2;1
196706;42.6;1
196707;41.3;1
196708;52.2;1
196709;103.3;1
196710;144.6;1
196711;131;1
196712;133.8;1
196801;116.8;1
196802;109.8;1
196803;38.5;1
196804;54.2;1
196805;58.8;1
196806;51.9;1
196807;118.9;1
196808;110.5;1
196809;95.7;1
196810;77.6;1
196811;31.2;1
196812;65.9;1
196901;55.8;1
196902;73.9;1
196903;78.3;1
196904;76;1
196905;106.6;1
196906;50.1;1
196907;86.1;1
196908;85.1;1
196909;42.8;1
196910;12.6;1
196911;177.9;1
196912;83.4;1
197001;130.6;1
197002;187.7;1
