# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 83115001
# NOM_USUEL= STE MAXIME
# LATITUDE (°) = 43.322
# LONGITUDE(°)= 6.643
# ALTITUDE (m) = 24
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2017-12-31
# NUM_SERIE= MRR183115001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 196409
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;46.1;1
195002;85.2;1
195003;35.8;1
195004;37.2;1
195005;16.4;1
195006;0;1
195007;0;1
195008;28.6;1
195009;26.7;1
195010;114;1
195011;130.8;1
195012;121.8;1
195101;123.9;1
195102;158.1;1
195103;106.1;1
195104;33.4;1
195105;57.1;1
195106;36.1;1
195107;1.4;1
195108;3.8;1
195109;27.8;1
195110;131.5;1
195111;222.1;1
195112;35;1
195201;70.3;1
195202;6.5;1
195203;21.8;1
195204;99.1;1
195205;81.7;1
195206;0;1
195207;1.4;1
195208;33.7;1
195209;244.4;1
195210;40.4;1
195211;57.7;1
195212;177.1;1
195301;70.2;1
195302;37.3;1
195303;19.2;1
195304;24.4;1
195305;37.2;1
195306;99.3;1
195307;33.1;1
195308;25.7;1
195309;137.8;1
195310;280.9;1
195311;15;1
195312;93.2;1
195401;80.3;1
195402;71.7;1
195403;96.4;1
195404;83.1;1
195405;45.5;1
195406;25.1;1
195407;63.8;1
195408;30.2;1
195409;3;1
195410;149.9;1
195411;228.9;1
195412;65.9;1
195501;244.6;1
195502;82.4;1
195503;24.8;1
195504;2.4;1
195505;1.4;1
195506;33.9;1
195507;52.7;1
195508;6.3;1
195509;16.6;1
195510;118.9;1
195511;122.7;1
195512;69.9;1
195601;102.9;1
195602;97.9;1
195603;206.3;1
195604;58.2;1
195605;3.5;1
195606;51.2;1
195607;3;1
195608;1.9;1
195609;58.8;1
195610;46.2;1
195611;59.3;1
195612;96.5;1
195701;64;1
195702;100.8;1
