# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 14727001
# NOM_USUEL= VAUBADON
# LATITUDE (°) = 49.21
# LONGITUDE(°)= -0.835
# ALTITUDE (m) = 105
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR114727001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 199010
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;70.3;1
195102;88.7;1
195103;102.2;1
195104;78.9;1
195105;120.2;1
195106;71.8;1
195107;50.4;1
195108;100.3;1
195109;83.7;1
195110;44.3;1
195111;115.6;1
195112;118.5;1
195201;122.2;1
195202;65.8;1
195203;82.4;1
195204;39.7;1
195205;76.4;1
195206;14;1
195207;51.6;1
195208;122.6;1
195209;172;1
195210;175.4;1
195211;133.8;1
195212;110.4;1
195301;44.9;1
195302;57;1
195303;3.5;1
195304;95.5;1
195305;52.8;1
195306;27.8;1
195307;70.2;1
195308;38;1
195309;90.3;1
195310;68.2;1
195311;51.6;1
195312;46.2;1
195401;79.8;1
195402;76.4;1
195403;65.6;1
195404;15.8;1
195405;55.6;1
195406;89;1
195407;72;1
195408;74.3;1
195409;148.7;1
195410;74.6;1
195411;69.6;1
195412;80.3;1
195501;96.4;1
195502;100.7;1
195503;54.9;1
195504;6.9;1
195505;56.1;1
195506;83.6;1
195507;22.2;1
195508;91.1;1
195509;85.7;1
195510;136.8;1
195511;13.2;1
195512;118.7;1
195601;132.2;1
195602;61.9;1
195603;17.3;1
195604;47.4;1
195605;10.5;1
195606;62.2;1
195607;81.1;1
195608;117.6;1
195609;60.2;1
195610;59.2;1
195611;52.8;1
195612;114.9;1
195701;42.6;1
195702;161.5;1
195703;31.8;1
195704;40.5;1
195705;27.4;1
195706;33.8;1
195707;122.4;1
195708;80.6;1
195709;128.1;1
