# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 4099001
# NOM_USUEL= LAMBRUISSE
# LATITUDE (°) = 44.043
# LONGITUDE(°)= 6.446
# ALTITUDE (m) = 1123
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-01-01
# NUM_SERIE= MRR104099001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195301 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;12.7;1
195302;27.2;1
195303;1;1
195304;41.9;1
195305;108.7;1
195306;90.3;1
195307;46.3;1
195308;66.4;1
195309;180.2;1
195310;150.9;1
195311;19.7;1
195312;28.6;1
195401;41.9;1
195402;58.2;1
195403;77.8;1
195404;95;1
195405;93.7;1
195406;91.1;1
195407;24.9;1
195408;121.2;1
195409;66.5;1
195410;42.7;1
195411;122.3;1
195412;163.8;1
195501;159.7;1
195502;106.8;1
195503;48.5;1
195504;31.2;1
195505;29.5;1
195506;140.4;1
195507;74.3;1
195508;73.1;1
195509;25.2;1
195510;118.6;1
195511;87.9;1
195512;75.8;1
195601;85.3;1
195602;12.3;1
195603;115.6;1
195604;154.2;1
195605;76.4;1
195606;70.4;1
195607;47.8;1
195608;44.8;1
195609;132.8;1
195610;37.9;1
195611;21.3;1
195612;47.8;1
195701;20.5;1
195702;123.4;1
195703;65.6;1
195704;90.8;1
195705;139.4;1
195706;169;1
195707;20.5;1
195708;27.9;1
195709;6.3;1
195710;32.6;1
195711;120.6;1
195712;227.6;1
195801;67.1;1
195802;30.3;1
195803;94.7;1
195804;65.3;1
195805;48.9;1
195806;81.6;1
195807;37.2;1
195808;74.5;1
195809;118.1;1
195810;83.3;1
195811;49.9;1
195812;209;1
195901;42.6;1
195902;29.5;1
195903;137.4;1
195904;185.5;1
195905;83.8;1
195906;82.3;1
195907;58.6;1
195908;49;1
195909;63.7;1
195910;171.8;1
195911;131.9;1
195912;201.6;1
196001;90.5;1
196002;90.8;1
196003;166;1
196004;35.5;1
196005;33;1
196006;114.7;1
196007;64.1;1
196008;74.2;1
196009;189.2;1
196010;340.2;1
196011;163.5;1
196012;94.8;1
196101;83.5;1
196102;24;1
196103;0;1
196104;132.4;1
196105;78;1
196106;103.7;1
196107;11.5;1
196108;66.6;1
196109;87.4;1
196110;130;1
196111;194.6;1
196112;53.7;1
196201;63.6;1
196202;62.1;1
196203;103;1
196204;81.5;1
196205;58.3;1
196206;126.6;1
196207;3.9;1
196208;75.4;1
196209;58;1
196210;132;1
196211;161.8;1
196212;72.3;1
196301;134.2;1
196302;80;1
196303;88.1;1
196304;106.5;1
196305;51.2;1
196306;112;1
196307;154.2;1
196308;107.8;1
196309;82.1;1
196310;65.6;1
196311;226.1;1
196312;70.9;1
196401;9.3;1
196402;102.2;1
196403;115.7;1
196404;88.2;1
196405;25.6;1
196406;89;1
196407;46.5;1
196408;55.7;1
196409;60.9;1
196410;80.7;1
196411;31.4;1
196412;55;1
196501;30;1
196502;2;1
196503;96.2;1
196504;9.8;1
196505;38.4;1
196506;64;1
196507;48.7;1
196508;75.8;1
196509;131.6;1
196510;31.2;1
196511;129.2;1
196512;104.7;1
196601;53;1
196602;119;1
196603;4.3;1
196604;128.7;1
196605;73.4;1
196606;55.5;1
196607;27.4;1
196608;63;1
196609;41.2;1
196610;118;1
196611;158.7;1
196612;54.7;1
196701;17.8;1
196702;50.4;1
196703;31.6;1
196704;33.8;1
196705;60.8;1
196706;70.8;1
196707;26.6;1
196708;68.2;1
196709;37;1
196710;22.6;1
196711;140.6;1
196712;30;1
196801;31.4;1
196802;155.5;1
196803;23;1
196804;79.8;1
196805;101.8;1
196806;124.9;1
196807;11;1
196808;108;1
196809;100.2;1
196810;51;1
196811;167.8;1
196812;47.2;1
196901;99;1
196902;145.7;1
196903;104.5;1
196904;54;1
196905;68.4;1
196906;90;1
196907;134.8;1
196908;71.1;1
196909;73.9;1
196910;0.8;1
196911;114.4;1
196912;20.1;1
197001;182.4;1
197002;68.5;1
197003;78;1
197004;45.4;1
197005;119.2;1
197006;70.6;1
197007;20;1
197008;47.5;1
197009;33.4;1
197010;84;1
197011;177.8;1
197012;44;1
197101;83.8;1
197102;23.2;1
197103;146.6;1
197104;135;1
197105;154.2;1
197106;80.6;1
197107;37.4;1
197108;20;1
197109;34;1
197110;16;1
197111;169;1
197112;25.5;1
197201;45.3;1
197202;159;1
197203;78.4;1
197204;82.6;1
197205;93.6;1
197206;119;1
197207;40.1;1
197208;87.2;1
197209;69.7;1
197210;180.7;1
197211;51.6;1
197212;79;1
197301;40;1
197302;26.2;1
197303;14.5;1
197304;71.8;1
197305;86.8;1
197306;39.7;1
197307;42.6;1
197308;111.7;1
197309;52.2;1
197310;112.2;1
197311;33;1
197312;213.2;1
197401;82.5;1
197402;149.6;1
197403;56.7;1
197404;85.1;1
197405;91.2;1
197406;80.3;1
197407;26;1
197408;34.6;1
197409;134;1
197410;49;1
197411;66.6;1
197412;21.8;1
197501;45.8;1
197502;95.5;1
197503;80.6;1
197504;74;1
197505;143.2;1
197506;55.7;1
197507;15.3;1
197508;117.3;1
197509;131.2;1
197510;30.5;1
197511;145.8;1
197512;75;1
197601;14;1
197602;64.3;1
197603;70.8;1
197604;91.6;1
197605;42.2;1
197606;108.2;1
197607;80.8;1
197608;93.6;1
197609;101.1;1
197610;233.4;1
197611;120.4;1
197612;149.2;1
197701;164.2;1
197702;88.5;1
197703;90.7;1
197704;66.7;1
197705;196.2;1
197706;67.2;1
197707;108.4;1
197708;163.8;1
197709;6;1
197710;163.6;1
197711;68.2;1
197712;116.3;1
197801;228.8;1
197802;115.7;1
197803;82.1;1
197804;115.2;1
197805;106.2;1
197806;32.7;1
197807;43.9;1
197808;79.6;1
197809;12;1
197810;22.8;1
197811;3.4;1
197812;121.8;1
197901;212.9;1
197902;93.7;1
197903;155.5;1
197904;94.6;1
197905;25.4;1
197906;161.9;1
197907;19.2;1
197908;25.7;1
197909;27;1
197910;346.2;1
197911;44.4;1
197912;129.8;1
198001;63.7;1
198002;7;1
198003;127.5;1
198004;56.4;1
198005;150.1;1
198006;71.5;1
198007;35.8;1
198008;76.5;1
198009;0.4;1
198010;108.3;1
198011;85;1
198012;4.2;1
198101;21.2;1
198102;20.5;1
198103;114.3;1
198104;134.7;1
198105;112.1;1
198106;66.9;1
198107;57.2;1
198108;21.8;1
198109;124.9;1
198110;41.9;1
198111;2.6;1
198112;320.7;1
198201;36.1;1
198202;41.1;1
198203;38.1;1
198204;28.5;1
198205;70.1;1
198206;79.6;1
198207;40.7;1
198208;51.4;1
198209;55.2;1
198210;111.6;1
198211;161.3;1
198212;69.4;1
198301;1;1
198302;92.8;1
198303;74.2;1
198304;91.8;1
198305;96.8;1
198306;166.1;1
198307;51.4;1
198308;160.9;1
198309;39.3;1
198310;87.8;1
198311;22.2;1
198312;128.9;1
198401;77.5;1
198402;62.4;1
198403;81.8;1
198404;35.9;1
198405;235.6;1
198406;127.5;1
198407;0.3;1
198408;68.7;1
198409;75.5;1
198410;111.5;1
198411;118.3;1
198412;79.6;1
198501;111.2;1
198502;40.4;1
198503;100.7;1
198504;23;1
198505;157.4;1
198506;41;1
198507;3.9;1
198508;68.5;1
