# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 21590001
# NOM_USUEL= SAVIGNY LES BEA
# LATITUDE (°) = 47.056
# LONGITUDE(°)= 4.837
# ALTITUDE (m) = 246
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2023-01-04
# NUM_SERIE= MRR121590001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 195612
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;58.9;1
195102;61.7;1
195103;54.3;1
195104;36.6;1
195105;113.4;1
195106;81.6;1
195107;31.1;1
195108;99.6;1
195109;44.1;1
195110;35.3;1
195111;162.9;1
195112;26.4;1
195201;86.2;1
195202;33.6;1
195203;95.1;1
195204;28.8;1
195205;51.7;1
195206;31.5;1
195207;12.5;1
195208;77.9;1
195209;104.3;1
195210;120.8;1
195211;98.3;1
195212;87.7;1
195301;8.4;1
195302;32.9;1
195303;2.8;1
195304;55.7;1
195305;20.6;1
195306;221.5;1
195307;119.4;1
195308;19;1
195309;51.7;1
195310;53.8;1
195311;17.6;1
195312;20.4;1
195401;39.2;1
195402;48.2;1
195403;54.7;1
195404;25.8;1
195405;23.8;1
195406;49;1
195407;21.9;1
195408;131.9;1
195409;55.2;1
195410;79.8;1
195411;60.5;1
195412;84.4;1
195501;135.5;1
195502;115.5;1
195503;37.6;1
195504;2.6;1
195505;52.6;1
195506;179.5;1
195507;113.6;1
195508;85.8;1
195509;38.7;1
195510;23.7;1
195511;35.7;1
195512;82;1
195601;60.5;1
195602;11.6;1
195603;59.2;1
195604;73.3;1
195605;71.5;1
195606;74.2;1
195607;97.5;1
195608;84.4;1
195609;141;1
195610;53.2;1
195611;22.5;1
195612;48.2;1
195701;18;1
195702;107.8;1
195703;25;1
195704;20.5;1
195705;28.7;1
195706;98.7;1
195707;75.6;1
195708;20.9;1
195709;39.6;1
195710;26.6;1
195711;25.3;1
195712;52.5;1
195801;86.3;1
195802;57;1
195803;57.7;1
195804;30.6;1
195805;88;1
195806;67.7;1
195807;48.4;1
195808;124;1
195809;118.8;1
195810;48.1;1
195811;41.1;1
195812;100.7;1
195901;69.2;1
195902;1;1
195903;60.3;1
195904;90.8;1
195905;16.9;1
195906;103.6;1
195907;3.9;1
195908;57.8;1
195909;18.5;1
195910;43.6;1
195911;67.5;1
195912;94.3;1
196001;49.9;1
196002;52.8;1
196003;68.8;1
196004;11.6;1
196005;67.8;1
196006;33.4;1
196007;57.9;1
196008;203.8;1
196009;107.2;1
196010;145.1;1
196011;64.7;1
196012;62.4;1
196101;67.3;1
196102;62.3;1
196103;3;1
196104;51.6;1
196105;73.6;1
196106;33.1;1
196107;76.3;1
196108;50;1
196109;26.5;1
196110;93.8;1
196111;52;1
196112;78;1
196201;73.3;1
