# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 30231003
# NOM_USUEL= SAINT ANDRE DE VALBORGNE
# LATITUDE (°) = 44.138
# LONGITUDE(°)= 3.751
# ALTITUDE (m) = 354
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-12-31
# NUM_SERIE= MRR130231003
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;57;1
195002;116;1
195003;65;1
195004;9;1
195005;86;1
195006;8;1
195007;1;1
195008;56;1
195009;17;1
195010;112;1
195011;38;1
195012;129;1
195101;132;1
195102;145;1
195103;113;1
195104;11;1
195105;220;1
195106;22;1
195107;10;1
195108;75;1
195109;129;1
195110;278;1
195111;312;1
195112;28;1
195201;46;1
195202;10;1
195203;129;1
195204;65;1
195205;161;1
195206;81.5;1
195207;25;1
195208;55;1
195209;22;1
195210;99;1
195211;124;1
195212;94;1
195301;21;1
195302;13;1
195303;43;1
195304;36;1
195305;74;1
195306;137;1
195307;16;1
195308;66;1
195309;194.1;1
195310;367;1
195311;187.5;1
195312;579;1
195401;26.5;1
195402;141;1
195403;223.5;1
195404;63;1
195405;148;1
195406;58.5;1
195407;110.5;1
195408;90.5;1
195409;26.5;1
195410;31;1
195411;241.5;1
195412;31.5;1
195501;504.2;1
195502;83;1
195503;92.5;1
195504;2;1
195505;35.5;1
195506;140.5;1
195507;87.5;1
195508;18;1
195509;76.5;1
195510;300;1
195511;240;1
195512;167;1
195601;38;1
195602;7.2;1
195603;525;1
195604;89;1
195605;134.5;1
195606;2;1
195607;69.5;1
195608;52.5;1
195609;264;1
195610;39.5;1
195611;82;1
195612;126;1
195701;1;1
195702;150.5;1
195703;84;1
195704;269.5;1
195705;127.5;1
195706;216.5;1
195707;9;1
195708;40.5;1
195709;95;1
195710;11;1
195711;163;1
195712;184;1
195801;74;1
195802;24.5;1
195803;109.5;1
195804;86;1
195805;33.5;1
195806;95.5;1
195807;66.5;1
195808;38.5;1
195809;242.5;1
195810;116.5;1
195811;64;1
195812;230.5;1
195901;54.5;1
195902;120;1
195903;312.5;1
195904;180;1
195905;116;1
195906;90;1
195907;34;1
195908;80.5;1
195909;127.6;1
195910;132.9;1
195911;147.5;1
195912;405.5;1
196001;239;1
196002;115.1;1
196003;381.3;1
196004;29;1
196005;40.5;1
196006;29;1
196007;59;1
196008;80.9;1
196009;115.1;1
196010;568.5;1
196011;130;1
196012;58.5;1
196101;81;1
196102;31.5;1
196103;0;1
196104;76;1
196105;103.5;1
196106;49;1
196107;36;1
196108;28.5;1
196109;144;1
196110;148;1
196111;327;1
196112;85.5;1
196201;146.5;1
196202;96;1
196203;136;1
196204;144;1
196205;33.2;1
196206;30;1
196207;2;1
196208;32.5;1
196209;92.5;1
196210;101;1
196211;366;1
196212;106.8;1
196301;184.5;1
196302;136;1
196303;39;1
196304;200;1
196305;62;1
196306;214;1
196307;59;1
196308;236.5;1
196309;182;1
196310;309;1
196311;218.5;1
196312;187.1;1
196401;99.2;1
196402;345.5;1
196403;171.1;1
196404;204.5;1
196405;254.5;1
196406;82.5;1
196407;24.5;1
196408;73.5;1
196409;163.5;1
196410;113;1
196411;106.5;1
196412;72.5;1
196501;140;1
196502;62;1
196503;135.5;1
196504;17;1
196505;42;1
196506;46;1
196507;62.6;1
196508;19.5;1
196509;422.9;1
196510;338.2;1
196511;166;1
196512;149.4;1
196601;112;1
196602;214.8;1
196603;9;1
196604;153;1
196605;114.2;1
196606;117.2;1
196607;46.4;1
196608;22.6;1
196609;77.5;1
196610;252.5;1
196611;123;1
196612;32.5;1
196701;128.6;1
196702;225.8;1
196703;133.2;1
196704;47;1
196705;145;1
196706;21.6;1
196707;26;1
196708;119.2;1
196709;24;1
196710;56.5;1
196711;232.4;1
196712;14.2;1
196801;44.5;1
196802;158.8;1
196803;15.5;1
196804;204.7;1
196805;138;1
196806;111.8;1
196807;26.2;1
196808;157.9;1
196809;113;1
196810;91.6;1
196811;142.4;1
196812;64.1;1
196901;223.5;1
196902;198.2;1
196903;301.5;1
196904;184.5;1
196905;150;1
196906;69;1
196907;77;1
196908;35.5;1
196909;239;1
196910;276;1
196911;187.5;1
196912;112;1
197001;336.5;1
197002;30.9;1
197003;64.8;1
197004;22.8;1
197005;134.5;1
197006;57;1
197007;25.5;1
197008;15.5;1
197009;25.5;1
197010;261;1
197011;103.2;1
197012;72;1
197101;312.7;1
197102;11.5;1
197103;100;1
197104;348;1
197105;85;1
197106;131.5;1
197107;84;1
197108;42;1
197109;61.5;1
197110;41;1
197111;58;1
197112;140.5;1
197201;400.5;1
197202;397.5;1
197203;177;1
197204;59.5;1
197205;96.5;1
197206;166.5;1
197207;23;1
197208;68;1
197209;164.5;1
197210;279;1
197211;25.2;1
197212;223.2;1
197301;170.8;1
197302;23;1
197303;34.1;1
197304;33.7;1
197305;65.9;1
197306;99;1
197307;87.7;1
197308;25.8;1
197309;32.1;1
197310;144.6;1
197311;269;1
197312;462.8;1
197401;237.6;1
197402;161.6;1
197403;203.3;1
197404;121.9;1
197405;76.2;1
197406;85.6;1
197407;36;1
197408;51.8;1
197409;268.1;1
197410;24.3;1
197411;125;1
197412;4.7;1
197501;123.4;1
197502;180.2;1
197503;173.8;1
197504;16;1
197505;122.5;1
197506;71.3;1
197507;45.9;1
197508;71.4;1
197509;192.2;1
197510;16.5;1
197511;53.4;1
197512;148.3;1
197601;47.1;1
197602;278.6;1
197603;32.9;1
197604;161.4;1
197605;52;1
197606;0;1
197607;74.2;1
197608;331.2;1
197609;242.9;1
197610;453.8;1
197611;257.5;1
197612;342.6;1
197701;350.3;1
197702;137.3;1
197703;96.6;1
197704;30.3;1
197705;211;1
197706;153.4;1
197707;165.6;1
197708;212.8;1
197709;27.8;1
197710;574.9;1
197711;50.7;1
197712;205.9;1
197801;213.1;1
197802;210.4;1
197803;168.8;1
197804;225.2;1
197805;130.2;1
197806;49;1
197807;12;1
197808;4;1
197809;2.5;1
197810;4;1
197811;17.5;1
197812;353.8;1
197901;283.3;1
197902;66.1;1
197903;133;1
197904;79.6;1
197905;103.9;1
197906;13.5;1
197907;32.3;1
197908;29;1
197909;30.8;1
197910;548.4;1
197911;7;1
197912;59.2;1
198001;84.6;1
198002;90;1
198003;88.3;1
198004;100.3;1
198005;132.7;1
198006;35.4;1
198007;16.5;1
198008;89.5;1
198009;239.9;1
198010;155.3;1
198011;144.5;1
198012;22;1
198101;35.5;1
198102;50.1;1
198103;160.3;1
198104;35.7;1
198105;182;1
198106;183.5;1
198107;42.8;1
198108;40.7;1
198109;185.7;1
198110;81.3;1
198111;0;1
198112;313.8;1
198201;85.3;1
198202;162.2;1
198203;49.1;1
198204;58.5;1
198205;47.5;1
198206;90.5;1
198207;129.8;1
198208;46.5;1
198209;109.3;1
198210;103.9;1
198211;389.9;1
198212;46.2;1
198301;2.5;1
198302;144.5;1
198303;49;1
198304;303.2;1
198305;75.3;1
198306;93.1;1
198307;0;1
198308;99.6;1
198309;43.1;1
198310;113.6;1
198311;50.2;1
198312;161;1
198401;91.4;1
198402;35.3;1
198403;148.9;1
198404;8;1
198405;297.6;1
198406;22;1
198407;22.5;1
198408;149.5;1
198409;140;1
198410;163.2;1
198411;420.7;1
198412;92.5;1
198501;33.9;1
198502;43.9;1
198503;46.6;1
198504;113.7;1
198505;171.3;1
198506;58;1
198507;18.7;1
198508;22.7;1
198509;0;1
198510;76.2;1
198511;31;1
198512;122.9;1
198601;165.8;1
198602;198.2;1
198603;49.6;1
198604;224.8;1
198605;61.8;1
198606;12.3;1
198607;35.3;1
198608;35.2;1
198609;144.5;1
198610;237.5;1
198611;196;1
198612;79.3;1
198701;74.2;1
198702;179.8;1
198703;42.6;1
198704;117.8;1
198705;23;1
198706;48.2;1
198707;75.7;1
198708;76.3;1
198709;33.5;1
198710;463.8;1
198711;111.4;1
198712;140.8;1
198801;361.1;1
198802;28.4;1
198803;44.6;1
198804;136.1;1
198805;226;1
198806;122.5;1
198807;26.7;1
198808;27.9;1
198809;32.4;1
198810;284.8;1
198811;97.4;1
198812;17.1;1
198901;54.8;1
198902;68.7;1
198903;40.6;1
198904;180.5;1
198905;25.2;1
198906;67.5;1
198907;5.5;1
198908;43.8;1
198909;124.4;1
198910;87.7;1
198911;280;1
198912;32.5;1
199001;69;1
199002;61;1
199003;7.9;1
199004;86;1
199005;88.2;1
199006;136.4;1
199007;17.7;1
199008;31.1;1
199009;13;1
199010;401.7;1
199011;56.7;1
199012;41.7;1
199101;28;1
199102;92.6;1
199103;269.5;1
199104;32.3;1
199105;39.3;1
199106;27.8;1
199107;40.4;1
199108;58.9;1
199109;111;1
199110;164.2;1
199111;50.5;1
199112;24.9;1
199201;102.5;1
199202;45.4;1
199203;26.7;1
199204;31.9;1
199205;178;1
199206;194.9;1
199207;43.5;1
199208;74.6;1
199209;311.5;1
199210;112.2;1
199211;32;1
199212;143;1
199301;2;1
199302;43.5;1
199303;51.3;1
199304;323.6;1
199305;197.9;1
199306;93;1
199307;35.6;1
199308;30.2;1
199309;358.8;1
199310;240.5;1
199311;239.8;1
199312;46;1
199401;84.4;1
199402;246.6;1
199403;1.5;1
199404;106.4;1
199405;127.5;1
199406;46.8;1
199407;24.2;1
199408;63.1;1
199409;445.5;1
199410;309.5;1
199411;313.3;1
199412;56;1
199501;102.4;1
199502;57.4;1
199503;5.9;1
199504;72.4;1
199505;57.2;1
199506;8.2;1
199507;66.7;1
199508;64.6;1
199509;334.3;1
199510;370.8;1
199511;247.3;1
199512;297.5;1
199601;729.2;1
199602;202.6;1
