# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 43148001
# NOM_USUEL= PAULHAGUET
# LATITUDE (°) = 45.206
# LONGITUDE(°)= 3.518
# ALTITUDE (m) = 544
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR143148001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 198509 199312 200312
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;15.7;1
195102;64.4;1
195103;51.4;1
195104;24.7;1
195105;173.4;1
195106;160.1;1
195107;66.9;1
195108;139.8;1
195109;49.1;1
195110;32.2;1
195111;121.2;1
195112;18;1
195201;48;1
195202;36;1
195203;60.2;1
195204;31;1
195205;44;1
195206;57.6;1
195207;14.7;1
195208;105.6;1
195209;39.1;1
195210;66.7;1
195211;81.2;1
195212;35.3;1
195301;10.5;1
195302;5.5;1
195303;1.1;1
195304;59.8;1
195305;51.2;1
195306;142.7;1
195307;45.7;1
195308;12;1
195309;123.9;1
195310;96.2;1
195311;11.2;1
195312;36.8;1
195401;48.3;1
195402;26.5;1
195403;42;1
195404;43.8;1
195405;100;1
195406;83.8;1
195407;60.9;1
195408;157.3;1
195409;119.5;1
195410;31.8;1
195411;50.7;1
195412;26;1
195501;100.1;1
195502;56.5;1
195503;15.1;1
195504;7.3;1
195505;45.5;1
195506;78.1;1
195507;94;1
195508;64.2;1
195509;49;1
195510;40.8;1
195511;15;1
195512;49.1;1
195601;43.4;1
195602;17.9;1
195603;17.7;1
195604;88.6;1
195605;115.6;1
195606;33.4;1
195607;101.2;1
195608;122.4;1
195609;103;1
195610;79.4;1
195611;13.2;1
195612;29.4;1
195701;16.1;1
195702;51.1;1
195703;28.2;1
195704;39.3;1
195705;90.9;1
195706;192.5;1
195707;21.9;1
195708;17.3;1
195709;41.8;1
195710;18.8;1
195711;52.1;1
195712;52;1
195801;25.6;1
195802;42.9;1
195803;63.8;1
195804;38.5;1
195805;39.1;1
195806;65.7;1
195807;89.3;1
195808;74.4;1
195809;95.4;1
195810;38.1;1
195811;55.7;1
195812;67.2;1
195901;41.1;1
195902;7.1;1
195903;96.2;1
195904;58.3;1
195905;123.4;1
195906;83.6;1
195907;46.9;1
195908;96.8;1
195909;49.7;1
195910;83.6;1
195911;34.8;1
195912;43.2;1
196001;62.3;1
196002;63.8;1
196003;61.4;1
196004;14.9;1
196005;29.8;1
196006;59.7;1
196007;97.9;1
196008;102.5;1
196009;115.1;1
196010;84.4;1
196011;67.9;1
196012;47;1
196101;25.8;1
196102;5.8;1
196103;2.2;1
196104;61.1;1
196105;35.9;1
196106;54.3;1
196107;42.3;1
196108;87.3;1
196109;22.6;1
196110;92;1
196111;40.5;1
196112;41.7;1
196201;32.9;1
196202;21.9;1
196203;22.9;1
196204;84.1;1
196205;94.7;1
196206;15.9;1
196207;36.6;1
196208;23;1
196209;83.1;1
196210;27.4;1
196211;55.9;1
196212;97.1;1
196301;28;1
196302;23.2;1
196303;62;1
196304;78.4;1
196305;112.3;1
196306;120.2;1
196307;95.1;1
196308;165.5;1
196309;44.9;1
196310;49.2;1
196311;57.6;1
196312;24.9;1
196401;14.6;1
196402;33.2;1
196403;79.3;1
196404;47.7;1
196405;122.4;1
196406;17;1
196407;18.9;1
196408;64.9;1
196409;44.2;1
196410;51.2;1
196411;65.9;1
196412;27;1
