# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 20041001
# NOM_USUEL= CAP PERTUSATO
# LATITUDE (°) = 41.375
# LONGITUDE(°)= 9.178
# ALTITUDE (m) = 107
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR020041001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196101 201512
# Date(s) de rupture(s) d'homogénéité : 200112
#     Periode homogénéisée  196101 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;65;1
196102;0;1
196103;0;1
196104;28.2;1
196105;18.1;1
196106;3.2;1
196107;0;1
196108;0;1
196109;21;1
196110;147.7;1
196111;155.1;1
196112;47.7;1
196201;28.9;1
196202;70.2;1
196203;29.4;1
196204;28.7;1
196205;12.4;1
196206;8.1;1
196207;0;1
196208;0;1
196209;32.6;1
196210;83.5;1
196211;212.3;1
196212;130.3;1
196301;81;1
196302;283.8;1
196303;33.6;1
196304;51.8;1
196305;17.4;1
196306;0.6;1
196307;2;1
196308;2.6;1
196309;48.9;1
196310;9.2;1
196311;62.6;1
196312;186.9;1
196401;7;1
196402;48.7;1
196403;115.5;1
196404;49.2;1
196405;5.8;1
196406;41.7;1
196407;0;1
196408;2.9;1
196409;1.5;1
196410;128.9;1
196411;67.5;1
196412;235.1;1
196501;90.8;1
196502;59.4;1
196503;77.2;1
196504;10.8;1
196505;62.2;1
196506;4.7;1
196507;0.6;1
196508;9.9;1
196509;44.7;1
196510;129.5;1
196511;74.8;1
196512;28.2;1
196601;51.1;1
196602;77.9;1
196603;77.6;1
196604;21.9;1
196605;15.4;1
196606;9.9;1
196607;15;1
196608;26.7;1
196609;53.6;1
196610;197.4;1
196611;89.9;1
196612;78.9;1
196701;52;1
196702;103.3;1
196703;23.3;1
196704;9.8;1
196705;29.7;1
196706;1.8;1
196707;0;1
196708;0.7;1
196709;72.8;1
196710;13.5;1
196711;83.3;1
196712;84.1;1
196801;31.4;1
196802;46;1
196803;78;1
196804;43.5;1
196805;63.9;1
196806;2.4;1
196807;20;1
196808;24.7;1
196809;2.1;1
196810;9;1
196811;71;1
196812;119.1;1
196901;51.1;1
196902;98.5;1
196903;160.5;1
196904;44.3;1
196905;39.3;1
196906;10;1
196907;8.3;1
196908;2;1
196909;67.6;1
196910;138.4;1
196911;102.6;1
196912;162.3;1
197001;38.2;1
197002;37.6;1
197003;65.3;1
197004;3.6;1
197005;15.5;1
197006;3.3;1
197007;1.4;1
197008;3.2;1
197009;1.5;1
197010;11.2;1
197011;30.4;1
197012;78.6;1
197101;104.8;1
197102;45;1
