# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 82034001
# NOM_USUEL= CASTERA-B
# LATITUDE (°) = 44.012
# LONGITUDE(°)= 0.914
# ALTITUDE (m) = 115
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR082034001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 196001 201812
# Date(s) de rupture(s) d'homogénéité : 196112
#     Periode homogénéisée  196001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;68.4;1
196002;33.4;1
196003;50.1;1
196004;20.5;1
196005;113.5;1
196006;97;1
196007;132;1
196008;73.8;1
196009;79.5;1
196010;108.1;1
196011;80;1
196012;104.2;1
196101;83.7;1
196102;40.9;1
196103;0.3;1
196104;90.7;1
196105;49;1
196106;49.3;1
196107;43.9;1
196108;33.2;1
196109;33.7;1
196110;42.4;1
196111;94;1
196112;48.7;1
196201;47;1
196202;28;1
196203;44.8;1
196204;85.4;1
196205;92.8;1
196206;20.3;1
196207;27.4;1
196208;17.1;1
196209;82;1
196210;45;1
196211;132.8;1
196212;64.9;1
196301;32.8;1
196302;78.9;1
196303;99.5;1
196304;51.4;1
196305;45.5;1
196306;151.8;1
196307;55.5;1
196308;143.8;1
196309;97.9;1
196310;28.7;1
196311;72.6;1
196312;55.9;1
196401;8.5;1
196402;65.7;1
196403;71.2;1
196404;72;1
196405;82;1
196406;40.5;1
196407;15;1
196408;25.1;1
196409;20.8;1
196410;102.9;1
196411;38;1
196412;30;1
196501;98;1
196502;24.5;1
196503;98.6;1
196504;93.2;1
196505;53.5;1
196506;65.5;1
196507;48;1
196508;31;1
196509;155;1
196510;41.5;1
196511;134.5;1
196512;184.2;1
196601;118.5;1
196602;61;1
196603;24.3;1
196604;109.8;1
196605;57.5;1
196606;133.2;1
196607;50.5;1
196608;40.7;1
196609;36.5;1
196610;92.4;1
196611;82.4;1
196612;138.7;1
196701;63.3;1
196702;41;1
196703;47.6;1
196704;16.9;1
196705;59.5;1
196706;40.3;1
196707;19.8;1
196708;59.8;1
196709;77.2;1
196710;36.5;1
196711;69;1
196712;46.7;1
196801;72.2;1
196802;71;1
196803;36.8;1
196804;41;1
196805;116;1
196806;51;1
196807;55;1
196808;101;1
196809;77;1
196810;24;1
196811;71;1
196812;72;1
196901;72;1
196902;38;1
196903;91;1
196904;110;1
196905;71.3;1
196906;57.5;1
196907;69.6;1
196908;34.7;1
196909;84.7;1
196910;9.1;1
196911;38;1
196912;88;1
197001;50;1
197002;79;1
197003;47.2;1
197004;66;1
197005;94.5;1
197006;103.7;1
197007;10.5;1
197008;50.3;1
197009;8.8;1
197010;78.1;1
197011;61.1;1
197012;12.9;1
197101;134.1;1
197102;72.3;1
197103;70.8;1
197104;59.6;1
197105;74.7;1
197106;51.6;1
197107;75;1
197108;50.2;1
197109;48.6;1
197110;28.9;1
197111;84.4;1
197112;45.4;1
197201;62.8;1
197202;101.4;1
197203;74.7;1
197204;53.4;1
197205;77.3;1
197206;26.1;1
197207;42.5;1
197208;69.2;1
197209;78.7;1
197210;23.5;1
197211;57.7;1
197212;28.4;1
197301;75.4;1
197302;72.7;1
197303;15.2;1
197304;43.3;1
197305;60.5;1
197306;50.1;1
197307;65.3;1
197308;26.7;1
197309;84.4;1
197310;33.6;1
