# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 19206001
# NOM_USUEL= ST-GERMAIN-LAV.
# LATITUDE (°) = 45.615
# LONGITUDE(°)= 2.203
# ALTITUDE (m) = 684
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR119206001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;307.6;1
195502;178.1;1
195503;46.6;1
195504;1.7;1
195505;46.8;1
195506;119.2;1
195507;121.1;1
195508;48.4;1
195509;20.5;1
195510;99.3;1
195511;58.7;1
195512;168.1;1
195601;120;1
195602;19.9;1
195603;68.8;1
195604;101.9;1
195605;90.5;1
195606;63.1;1
195607;157.6;1
195608;159.9;1
195609;125;1
195610;50.9;1
195611;42.7;1
195612;72.5;1
195701;43.8;1
195702;290.3;1
195703;34.1;1
195704;64.1;1
195705;45;1
195706;168.1;1
195707;110.7;1
195708;39.6;1
195709;82.7;1
195710;35.8;1
195711;52.7;1
195712;75.2;1
195801;158.6;1
195802;102.6;1
195803;152.8;1
195804;94.1;1
195805;234.3;1
195806;114.9;1
195807;161.4;1
195808;181.5;1
195809;115.8;1
195810;64.9;1
195811;64.6;1
195812;200.4;1
195901;153.3;1
195902;15.6;1
195903;92;1
195904;172.9;1
195905;71.4;1
195906;93.3;1
195907;41.8;1
195908;93.2;1
195909;148;1
195910;97.9;1
195911;106.8;1
195912;292.6;1
196001;131.9;1
196002;150.6;1
196003;148.8;1
196004;31.4;1
196005;69.4;1
196006;116.8;1
196007;67.7;1
196008;229.1;1
196009;88.1;1
196010;384.9;1
196011;105.9;1
196012;154.1;1
196101;196.3;1
196102;67.9;1
196103;2;1
196104;113;1
196105;102;1
196106;63;1
196107;123.6;1
196108;80.6;1
196109;72.9;1
196110;152.8;1
196111;105.8;1
196112;178.5;1
196201;205.1;1
196202;56.3;1
196203;158.9;1
196204;123.4;1
196205;143.6;1
196206;13.1;1
196207;64.8;1
196208;13.4;1
196209;98.3;1
196210;38.8;1
196211;167.6;1
196212;120;1
196301;54.7;1
196302;98.2;1
196303;170.3;1
196304;96.6;1
196305;65.7;1
196306;154.4;1
196307;26.5;1
196308;171.6;1
196309;51.6;1
196310;78.7;1
196311;164.4;1
196312;40.1;1
196401;12.1;1
196402;55.6;1
196403;84.5;1
196404;134.3;1
196405;132.5;1
196406;91.2;1
196407;8.2;1
196408;85.7;1
196409;57.3;1
196410;172.2;1
196411;83.4;1
196412;50.4;1
196501;133;1
196502;11.1;1
196503;105.3;1
196504;70.9;1
196505;94.5;1
196506;54.7;1
196507;82;1
196508;83.5;1
196509;194.7;1
196510;10.2;1
196511;159.2;1
196512;270.3;1
196601;172.1;1
196602;113.1;1
196603;63.4;1
196604;128.6;1
196605;105.7;1
196606;68.2;1
196607;57.3;1
196608;142.2;1
196609;26.1;1
196610;159.8;1
196611;145.7;1
196612;190.8;1
196701;63;1
196702;133.8;1
196703;76.7;1
196704;32;1
196705;145.2;1
196706;54.1;1
196707;17.3;1
196708;106;1
196709;73;1
196710;138.6;1
196711;151;1
196712;102.3;1
196801;142.5;1
196802;108.4;1
196803;58.2;1
196804;95.7;1
196805;186.1;1
196806;55.6;1
196807;93.9;1
196808;122.2;1
196809;301.3;1
196810;72.6;1
196811;42.1;1
196812;177.4;1
196901;94.8;1
196902;79.4;1
196903;140;1
196904;183.5;1
196905;166.2;1
196906;181.3;1
196907;26.1;1
196908;79.4;1
196909;207.1;1
196910;16.6;1
196911;214.6;1
196912;95.1;1
197001;154.9;1
197002;203.7;1
197003;112.2;1
197004;126.4;1
197005;53.3;1
197006;123.4;1
197007;17.7;1
197008;95.9;1
197009;34.9;1
197010;84.5;1
197011;139.9;1
197012;44.1;1
197101;214.9;1
197102;79.6;1
197103;105.5;1
197104;93.9;1
197105;65.7;1
197106;84.5;1
197107;63.2;1
197108;159.4;1
197109;96.6;1
197110;31.7;1
197111;97.5;1
197112;12.1;1
197201;84;1
197202;117.3;1
197203;75.5;1
197204;79.2;1
197205;52.8;1
197206;45.5;1
197207;30.4;1
197208;162.7;1
197209;22.3;1
197210;69.3;1
197211;138.3;1
197212;81.7;1
197301;93.4;1
197302;96.8;1
197303;5.9;1
197304;42.7;1
197305;108;1
197306;55.4;1
197307;126.5;1
197308;68.5;1
197309;131.1;1
197310;144.4;1
197311;69.8;1
197312;137.4;1
197401;97.5;1
197402;119.4;1
197403;96.5;1
197404;72.9;1
197405;76.1;1
197406;131.3;1
197407;41.3;1
197408;69.8;1
197409;189.9;1
197410;130.3;1
197411;116;1
197412;33.9;1
197501;130.2;1
197502;33.2;1
197503;152.2;1
197504;56.7;1
197505;135.7;1
197506;30;1
197507;47.8;1
197508;108.3;1
197509;130.2;1
197510;36.1;1
197511;117.9;1
197512;34.3;1
197601;35.3;1
197602;77;1
197603;49.2;1
197604;38.5;1
197605;69.8;1
197606;1;1
197607;65.7;1
197608;77.6;1
197609;129.2;1
197610;193.3;1
197611;163.6;1
197612;215.7;1
197701;139.1;1
197702;216.1;1
197703;107.9;1
197704;80.8;1
197705;108.9;1
197706;160.6;1
197707;85;1
197708;157.9;1
197709;14.2;1
197710;90.6;1
197711;82.9;1
197712;129.1;1
197801;229.9;1
197802;125;1
197803;155.9;1
197804;110.5;1
197805;61.9;1
197806;58.7;1
197807;71.7;1
197808;40.2;1
197809;51.4;1
197810;18.9;1
197811;12.6;1
197812;288.3;1
197901;123;1
197902;128.7;1
197903;180.6;1
197904;128.6;1
197905;147.1;1
197906;65.5;1
197907;5.3;1
197908;93.3;1
197909;13.1;1
197910;166;1
197911;68.2;1
197912;254.3;1
198001;173.6;1
198002;145.2;1
198003;125.4;1
198004;36.6;1
198005;89.1;1
198006;77.2;1
198007;73.3;1
198008;108.3;1
198009;51.6;1
198010;121.6;1
198011;95;1
198012;92.8;1
198101;151.7;1
198102;52.9;1
198103;168.2;1
198104;26;1
198105;155.9;1
198106;102.7;1
198107;70.3;1
198108;45.8;1
198109;147.9;1
198110;136.6;1
198111;25.1;1
198112;294.3;1
198201;115.3;1
198202;34.6;1
198203;92;1
198204;19.9;1
198205;77;1
198206;40.7;1
198207;91.1;1
198208;65.1;1
198209;82.9;1
198210;137.5;1
198211;80.4;1
198212;218.9;1
198301;40.3;1
198302;86.6;1
198303;58.7;1
198304;215.7;1
198305;175.7;1
198306;35.9;1
198307;20.6;1
198308;79.1;1
198309;74.1;1
198310;58.4;1
198311;96.6;1
198312;127.6;1
198401;215.8;1
198402;95.3;1
198403;120.9;1
198404;14;1
198405;121.1;1
198406;78.5;1
198407;32.9;1
198408;55.9;1
198409;129.6;1
198410;138.9;1
198411;133.3;1
198412;81.3;1
198501;94.3;1
198502;108;1
198503;108.3;1
198504;92.8;1
198505;102.7;1
198506;106.3;1
198507;32.2;1
198508;22.9;1
198509;6.1;1
198510;6.5;1
198511;81.5;1
198512;129.4;1
198601;215.5;1
198602;104.2;1
198603;121.6;1
198604;188.2;1
198605;88;1
198606;48.3;1
198607;22.6;1
198608;47.5;1
198609;90.7;1
198610;92.3;1
198611;83.5;1
198612;112.5;1
198701;60.2;1
198702;65.4;1
198703;83.9;1
198704;81.3;1
198705;82.7;1
198706;119.1;1
198707;79;1
198708;38.3;1
198709;127.9;1
198710;203.3;1
198711;112.8;1
198712;44.3;1
198801;247.5;1
198802;156.4;1
198803;144;1
198804;66.5;1
198805;133;1
198806;96.5;1
198807;109.9;1
198808;13.1;1
198809;71.4;1
198810;115.2;1
198811;51;1
198812;63.1;1
198901;21;1
198902;99.6;1
198903;83.7;1
198904;226;1
198905;86.7;1
198906;40.1;1
198907;45.6;1
198908;40.3;1
198909;69.4;1
198910;48.2;1
198911;65.4;1
198912;81.9;1
199001;74;1
199002;229.9;1
199003;19.6;1
199004;77.5;1
199005;73.2;1
199006;78.2;1
199007;42.5;1
199008;39.8;1
199009;62.7;1
199010;212.1;1
199011;111;1
199012;58.1;1
199101;90;1
199102;81.3;1
199103;50.2;1
199104;58.5;1
199105;33.8;1
199106;57;1
199107;57.2;1
199108;38.8;1
199109;98.8;1
199110;76.4;1
199111;186.9;1
199112;31.3;1
199201;32.3;1
199202;40.2;1
199203;65.3;1
199204;71.9;1
199205;68.5;1
