# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 60149001
# NOM_USUEL= CHEVRIERES
# LATITUDE (°) = 49.33
# LONGITUDE(°)= 2.667
# ALTITUDE (m) = 32
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2019-09-30
# NUM_SERIE= MRR160149001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 196112 197706 200512
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;59.7;1
195502;55.1;1
195503;26.1;1
195504;14.3;1
195505;64.6;1
195506;29.9;1
195507;90;1
195508;16.1;1
195509;55.9;1
195510;28.6;1
195511;24.7;1
195512;84.3;1
195601;70.4;1
195602;18.4;1
195603;7.5;1
195604;64;1
195605;24.6;1
195606;67.4;1
195607;67.2;1
195608;64.6;1
195609;60.5;1
195610;50.5;1
195611;36.2;1
195612;47.2;1
195701;13.9;1
195702;118.4;1
195703;22.1;1
195704;17.3;1
195705;22.9;1
195706;62.5;1
195707;53;1
195708;68.9;1
195709;101.6;1
195710;30.8;1
195711;33.3;1
195712;50.1;1
195801;74.7;1
195802;104.3;1
195803;20.9;1
195804;42.3;1
195805;56.8;1
195806;135.6;1
195807;74.1;1
195808;105.3;1
195809;47.4;1
195810;41.2;1
195811;42.8;1
195812;69.9;1
195901;68.5;1
195902;2.1;1
195903;54;1
195904;76.9;1
195905;39.4;1
195906;20.6;1
195907;76.8;1
195908;17.9;1
195909;3.6;1
195910;55.6;1
195911;40.1;1
195912;77.3;1
196001;38.9;1
196002;36.1;1
196003;68;1
196004;7.1;1
196005;24.1;1
196006;49.9;1
196007;75.7;1
196008;55.7;1
196009;38.4;1
196010;127.1;1
196011;75.9;1
196012;67.7;1
196101;87;1
196102;51.1;1
196103;4.3;1
196104;59.9;1
196105;29.2;1
196106;34.2;1
196107;67.6;1
196108;6.4;1
196109;52.7;1
196110;72.6;1
196111;58.8;1
196112;65.6;1
196201;72.1;1
196202;24.5;1
196203;53;1
196204;47.6;1
196205;41.1;1
196206;9.3;1
196207;111.6;1
196208;74.5;1
196209;52.5;1
196210;39;1
196211;56.1;1
196212;52;1
196301;12.6;1
196302;5.3;1
196303;54.7;1
196304;42.9;1
196305;57.6;1
196306;112.4;1
196307;15;1
196308;146.2;1
196309;45.6;1
196310;29.3;1
196311;95;1
196312;10.8;1
196401;27.1;1
196402;36.8;1
196403;68.9;1
196404;45.6;1
196405;20.6;1
196406;80.7;1
196407;52.4;1
196408;26.5;1
196409;33.1;1
196410;109.1;1
196411;43.8;1
196412;62.2;1
196501;88.5;1
196502;6.9;1
196503;50.5;1
196504;46.4;1
196505;71.6;1
196506;50.4;1
196507;61.9;1
196508;60.8;1
196509;97.3;1
196510;25.6;1
196511;106.6;1
196512;129.2;1
196601;42.7;1
196602;38.2;1
196603;23.6;1
196604;97.3;1
196605;97.4;1
196606;42.2;1
196607;169;1
196608;52.2;1
196609;19.1;1
196610;120.2;1
196611;77.5;1
196612;93.8;1
196701;46.7;1
196702;46.3;1
196703;35.6;1
196704;46.8;1
196705;99.2;1
196706;24.4;1
196707;8.1;1
196708;87.8;1
196709;102.7;1
196710;95.6;1
196711;69.2;1
196712;71.1;1
196801;74.2;1
196802;65.7;1
196803;60.8;1
196804;47.4;1
196805;72.9;1
196806;85;1
196807;68.3;1
196808;79.9;1
196809;105.5;1
196810;38.7;1
196811;33.8;1
196812;51.3;1
196901;39.6;1
196902;30.2;1
196903;68;1
196904;50.4;1
196905;61.1;1
196906;90.3;1
196907;53.8;1
196908;66.7;1
196909;25.7;1
196910;7.2;1
196911;100.2;1
196912;59.6;1
197001;70;1
197002;102.3;1
197003;40.4;1
197004;57.4;1
197005;55;1
197006;87.9;1
197007;61;1
197008;69.2;1
197009;24.4;1
197010;21.1;1
197011;56.5;1
197012;21.9;1
197101;65.8;1
197102;41;1
197103;31.4;1
197104;30.9;1
197105;101.7;1
197106;95.7;1
197107;51.9;1
197108;42.7;1
197109;9;1
197110;19.6;1
197111;69.4;1
197112;5.2;1
197201;78.1;1
197202;66.1;1
197203;32.4;1
197204;68.6;1
197205;59.8;1
197206;37.2;1
197207;162.1;1
197208;37.1;1
197209;43.1;1
197210;15.1;1
197211;85.2;1
197212;24.1;1
197301;23.5;1
197302;45.2;1
197303;7;1
197304;43.7;1
197305;99.3;1
197306;48.2;1
197307;32.8;1
197308;55.5;1
197309;97.4;1
197310;79.2;1
197311;50.7;1
197312;32.5;1
197401;64.7;1
197402;44.6;1
197403;58;1
197404;5.8;1
197405;33.8;1
197406;55.6;1
197407;33.2;1
197408;40.5;1
197409;134.2;1
197410;107.3;1
197411;74.8;1
197412;45.3;1
197501;67.8;1
197502;12.8;1
197503;58.2;1
197504;31.5;1
197505;55.2;1
197506;43.4;1
197507;53.7;1
197508;69.9;1
197509;132.5;1
197510;24.7;1
