# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49007002
# NOM_USUEL= ANGERS_VILLE
# LATITUDE (°) = 47.468
# LONGITUDE(°)= -0.552
# ALTITUDE (m) = 47
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2018-12-31
# NUM_SERIE= MRR149007002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195901 201612
# Date(s) de rupture(s) d'homogénéité : 198904
#     Periode homogénéisée  195901 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;74.4;1
195902;4;1
195903;37.5;1
195904;78.3;1
195905;49.1;1
195906;26;1
195907;13.6;1
195908;30;1
195909;15.2;1
195910;76.3;1
195911;41.9;1
195912;121.5;1
196001;43.5;1
196002;58.3;1
196003;84;1
196004;17.6;1
196005;49.4;1
196006;48.1;1
196007;68;1
196008;39.8;1
196009;101.3;1
196010;151.7;1
196011;105.6;1
196012;117.1;1
196101;117.4;1
196102;29.8;1
196103;3.2;1
196104;63.2;1
196105;15.8;1
196106;24.6;1
196107;54.9;1
196108;4.6;1
196109;40.2;1
196110;113.2;1
196111;105.2;1
196112;97.2;1
196201;74.8;1
196202;30.6;1
196203;104.3;1
196204;33.3;1
196205;45.8;1
196206;8.6;1
196207;22.5;1
196208;23.4;1
196209;57.4;1
196210;34.2;1
196211;116.2;1
196212;39;1
196301;45.7;1
196302;38.2;1
196303;74.3;1
196304;87.3;1
196305;53;1
196306;71.2;1
196307;5.2;1
196308;110.9;1
196309;35.8;1
196310;54.3;1
196311;119.5;1
196312;9.8;1
196401;20.6;1
196402;87.7;1
196403;96.7;1
196404;71.7;1
196405;125.5;1
196406;43.6;1
196407;20.1;1
196408;15.1;1
196409;25.6;1
196410;69.8;1
196411;39.8;1
196412;96.5;1
196501;101.4;1
196502;5.4;1
196503;66.8;1
196504;39.8;1
196505;37.9;1
196506;20.6;1
196507;16;1
196508;157.1;1
196509;94.7;1
196510;24.3;1
