# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 86284001
# NOM_USUEL= VERNON
# LATITUDE (°) = 46.418
# LONGITUDE(°)= 0.486
# ALTITUDE (m) = 128
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2015-12-31
# NUM_SERIE= MRR186284001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 198112
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;16.4;1
195002;110.8;1
195003;43.4;1
195004;57.5;1
195005;67.5;1
195006;24.8;1
195007;31.1;1
195008;49.2;1
195009;44.3;1
195010;33.8;1
195011;146.7;1
195012;91.6;1
195101;45.6;1
195102;96.7;1
195103;98.2;1
195104;57.5;1
195105;116.2;1
195106;74.4;1
195107;45.2;1
195108;60.3;1
195109;27.7;1
195110;63.8;1
195111;62.4;1
195112;87.9;1
195201;72.9;1
195202;55.5;1
195203;67.1;1
195204;27.2;1
195205;43.1;1
195206;24.6;1
195207;16.1;1
195208;61.4;1
195209;125.4;1
195210;161.6;1
195211;117.9;1
195212;127.2;1
195301;25.6;1
195302;46.7;1
195303;0;1
195304;65.2;1
195305;18.2;1
195306;56.7;1
195307;79.3;1
195308;16.5;1
195309;62.7;1
195310;92.1;1
195311;36.5;1
195312;15.6;1
195401;44;1
195402;62.6;1
195403;80.9;1
195404;4.8;1
195405;22.9;1
195406;61.3;1
195407;21.4;1
195408;65.2;1
195409;28;1
195410;20.9;1
195411;71.2;1
195412;84.1;1
195501;147.6;1
195502;155.4;1
195503;62.7;1
195504;0;1
195505;32.8;1
195506;113;1
195507;44.1;1
195508;15.6;1
195509;15.2;1
195510;28.9;1
195511;38;1
195512;111.6;1
