# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 91441001
# NOM_USUEL= NAINVILLE
# LATITUDE (°) = 48.508
# LONGITUDE(°)= 2.494
# ALTITUDE (m) = 78
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-12-31
# NUM_SERIE= MRR091441001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 197112 201512
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;60.4;1
194702;42.3;1
194703;77.4;1
194704;28.6;1
194705;47.4;1
194706;39;1
194707;43.3;1
194708;38.6;1
194709;17.9;1
194710;19.2;1
194711;87.5;1
194712;100.5;1
194801;86.2;1
194802;38.9;1
194803;23.1;1
194804;82.1;1
194805;77;1
194806;86.6;1
194807;72.8;1
194808;133.8;1
194809;59.7;1
194810;14.9;1
194811;59.4;1
194812;53.9;1
194901;27;1
194902;17.2;1
194903;23.9;1
194904;25.1;1
194905;35.9;1
194906;8;1
194907;13.4;1
194908;165.6;1
194909;94.8;1
194910;84;1
194911;68.3;1
194912;53.3;1
195001;24.7;1
195002;71.3;1
195003;21.8;1
195004;64.2;1
195005;76.8;1
195006;67.5;1
195007;48.6;1
195008;60.4;1
195009;99.2;1
195010;20.4;1
195011;87.5;1
195012;99.4;1
195101;50;1
195102;61.2;1
195103;70.6;1
195104;41.6;1
195105;92.8;1
195106;133.1;1
195107;37.4;1
195108;103.8;1
195109;64.1;1
195110;31.2;1
195111;80;1
195112;34.1;1
195201;68.8;1
195202;46.9;1
195203;112.5;1
195204;10.3;1
195205;48.2;1
195206;18.4;1
195207;11.8;1
195208;97.6;1
195209;128.4;1
195210;75.3;1
195211;130.4;1
195212;78.6;1
195301;20.7;1
195302;32.8;1
195303;1.7;1
195304;52.7;1
195305;19.3;1
195306;96.1;1
195307;94.8;1
195308;34.7;1
195309;49.3;1
195310;37.1;1
195311;29.7;1
195312;12.8;1
195401;36.3;1
195402;57.8;1
195403;47;1
195404;8.9;1
195405;19.9;1
195406;39.8;1
195407;33.1;1
195408;113.3;1
195409;106.4;1
195410;43.5;1
195411;34.3;1
195412;45.1;1
195501;122.5;1
195502;51.9;1
195503;18;1
195504;13.5;1
195505;97.4;1
195506;65.5;1
195507;90.7;1
195508;9.5;1
195509;33.5;1
195510;61.5;1
195511;51;1
195512;72.2;1
195601;85.9;1
195602;16.2;1
195603;20.8;1
195604;47.5;1
195605;55.8;1
195606;43.9;1
195607;77.5;1
195608;99.4;1
195609;72.5;1
195610;41.3;1
195611;31.4;1
195612;39.5;1
195701;22.7;1
195702;76.9;1
195703;23.6;1
195704;33.5;1
195705;30.3;1
195706;76.2;1
195707;96.6;1
195708;61.7;1
195709;84.4;1
195710;32.9;1
195711;39.4;1
195712;33.1;1
195801;85.1;1
195802;132.5;1
195803;52.3;1
195804;65.8;1
195805;93.7;1
195806;95.4;1
195807;85.2;1
195808;80.6;1
195809;52.3;1
195810;56.6;1
195811;50.8;1
195812;88.1;1
195901;114.6;1
195902;0.1;1
195903;37.7;1
195904;89;1
195905;34;1
195906;49;1
195907;7.7;1
195908;12.5;1
195909;5.2;1
195910;51.3;1
195911;53.1;1
195912;75.6;1
196001;57.7;1
196002;42.1;1
196003;41.9;1
196004;19.6;1
196005;29.7;1
196006;94.5;1
196007;93.7;1
196008;107.5;1
196009;64.4;1
196010;173;1
196011;93.1;1
196012;81.8;1
196101;85;1
196102;45;1
196103;4;1
196104;61.5;1
196105;66.7;1
196106;47.9;1
196107;38.8;1
196108;5.9;1
196109;66.7;1
196110;85.3;1
196111;63.3;1
196112;56.9;1
196201;65.4;1
196202;33.2;1
196203;79.9;1
196204;37.7;1
196205;49.6;1
196206;15;1
196207;79.3;1
196208;30;1
196209;39.6;1
196210;69.3;1
196211;98.9;1
196212;54.3;1
196301;21.6;1
196302;38;1
196303;93.8;1
196304;59.5;1
196305;81.2;1
196306;135.8;1
196307;28.5;1
196308;97.3;1
196309;55.2;1
196310;22.4;1
196311;114.4;1
196312;6;1
196401;31.7;1
196402;58.9;1
196403;63.1;1
196404;45.2;1
196405;45.9;1
196406;48.6;1
196407;19.5;1
196408;15.1;1
196409;93.8;1
196410;59;1
196411;31.8;1
196412;48.5;1
196501;97.4;1
196502;9.1;1
196503;79.4;1
196504;58.4;1
196505;62.3;1
196506;57.3;1
196507;71.7;1
196508;82.8;1
196509;113.9;1
196510;20.4;1
196511;107.9;1
196512;86.1;1
196601;60.8;1
196602;67.3;1
196603;26.5;1
196604;116.5;1
196605;39.2;1
196606;52.3;1
196607;107.3;1
196608;51.6;1
196609;47.9;1
196610;164.4;1
196611;87.2;1
196612;114;1
196701;34.6;1
196702;49.3;1
196703;36;1
196704;38.4;1
196705;77.1;1
196706;44;1
196707;51.4;1
196708;35.2;1
196709;82.4;1
196710;101.5;1
196711;66.6;1
196712;72.7;1
196801;90.1;1
196802;64.6;1
196803;50.4;1
196804;55.1;1
196805;62.9;1
196806;59.6;1
196807;72.5;1
196808;53.2;1
196809;111.5;1
196810;36;1
196811;37;1
196812;45.1;1
196901;66.1;1
196902;32.6;1
196903;53.8;1
196904;41.8;1
196905;96.8;1
196906;50.4;1
196907;23.2;1
196908;68.3;1
196909;31.4;1
196910;7.4;1
196911;107;1
196912;73.5;1
197001;86.2;1
197002;117.4;1
197003;76.9;1
197004;110.6;1
197005;42.9;1
197006;64.6;1
197007;62.6;1
197008;64.7;1
197009;42.8;1
197010;31.2;1
197011;57.7;1
197012;33.4;1
197101;65.9;1
197102;35.9;1
197103;36.4;1
197104;40.3;1
197105;125.5;1
197106;86.2;1
197107;61.4;1
197108;46.5;1
197109;10.2;1
197110;13.9;1
197111;70.5;1
197112;8.5;1
197201;96.4;1
197202;45.9;1
197203;33.9;1
197204;40.3;1
197205;56.3;1
197206;68.1;1
197207;92.5;1
197208;90.3;1
197209;40.3;1
197210;31.3;1
197211;116.6;1
197212;26.8;1
197301;35;1
197302;50.5;1
197303;6.5;1
197304;40.5;1
197305;91.5;1
197306;32.6;1
197307;39.6;1
197308;52.4;1
197309;87.1;1
197310;52.1;1
197311;85.6;1
197312;52.3;1
197401;62.4;1
197402;45.3;1
197403;67.2;1
197404;32.9;1
197405;68.2;1
197406;50.6;1
197407;48;1
197408;39.7;1
197409;126.2;1
197410;122.5;1
197411;65.5;1
197412;49.8;1
197501;65.7;1
197502;17.4;1
197503;84.2;1
197504;55.3;1
197505;86.8;1
197506;66.6;1
197507;86.1;1
197508;67.1;1
197509;162.9;1
197510;32;1
197511;93.5;1
197512;15.8;1
197601;24.1;1
197602;33.6;1
197603;26;1
197604;13.4;1
197605;14.3;1
197606;1;1
197607;117.4;1
197608;18.2;1
197609;52.9;1
197610;48.4;1
197611;66.3;1
197612;65.6;1
197701;58.5;1
197702;111.2;1
197703;87.4;1
197704;56.8;1
197705;92;1
197706;102.4;1
197707;81.9;1
197708;63.4;1
197709;18.5;1
197710;80.8;1
197711;68.9;1
197712;51.8;1
197801;115.2;1
197802;100.4;1
197803;129.7;1
197804;71.8;1
197805;45.5;1
197806;54.8;1
197807;68.1;1
197808;21.2;1
197809;49.7;1
197810;12.7;1
197811;20.5;1
197812;133.2;1
197901;47.4;1
197902;80.7;1
197903;132.5;1
197904;96.4;1
197905;75.7;1
197906;25.3;1
197907;13.6;1
197908;65.5;1
197909;35.1;1
197910;87.2;1
197911;76.8;1
197912;110.8;1
198001;58.5;1
198002;65.5;1
198003;128.3;1
198004;9.8;1
198005;38.6;1
198006;98.4;1
198007;128.3;1
198008;17;1
198009;26.1;1
198010;66.9;1
198011;68;1
198012;95;1
198101;68.9;1
198102;65.8;1
198103;90;1
198104;59.8;1
198105;109.1;1
198106;88.9;1
198107;71.5;1
198108;107.7;1
198109;46.5;1
198110;141.9;1
198111;45.3;1
198112;123.3;1
198201;83;1
198202;24.1;1
198203;66.9;1
198204;7.7;1
198205;62.7;1
198206;140.4;1
198207;107.5;1
198208;18.7;1
198209;60.2;1
198210;117.5;1
198211;71.1;1
198212;116.3;1
198301;65.5;1
198302;71.4;1
198303;44.3;1
198304;133.7;1
198305;95.9;1
198306;52.4;1
198307;96.6;1
198308;48.8;1
198309;91.4;1
198310;32.3;1
198311;29.5;1
198312;35.8;1
198401;130.6;1
198402;48.2;1
198403;41.4;1
198404;28.4;1
198405;133.9;1
198406;76.6;1
198407;49.3;1
198408;72.8;1
198409;154;1
198410;88;1
198411;80.2;1
198412;48.8;1
198501;39;1
198502;12.6;1
198503;74.1;1
198504;70;1
198505;66.9;1
198506;54.3;1
198507;47;1
198508;47.8;1
198509;43.2;1
198510;10;1
198511;52.6;1
198512;41.9;1
198601;88.5;1
198602;37.8;1
198603;77.7;1
198604;109.3;1
198605;62;1
198606;75.7;1
198607;32.1;1
198608;77;1
198609;58.2;1
198610;81;1
198611;52;1
198612;97.4;1
198701;33.1;1
198702;56.8;1
198703;66.5;1
198704;31.9;1
198705;59;1
198706;110.1;1
198707;108.2;1
198708;120.4;1
198709;27.7;1
198710;133.8;1
198711;77;1
198712;52;1
198801;133;1
198802;87.2;1
198803;79.7;1
198804;24.7;1
198805;162;1
198806;34.3;1
198807;103.2;1
198808;48;1
198809;62.8;1
198810;72.9;1
198811;31.7;1
198812;54.9;1
198901;28;1
198902;57.2;1
198903;65.9;1
198904;86.5;1
198905;10.7;1
198906;78.7;1
198907;41.9;1
198908;26.3;1
198909;30.6;1
198910;32.5;1
198911;34.5;1
198912;91.8;1
199001;44.5;1
199002;72.3;1
199003;13.2;1
199004;49.4;1
199005;6.5;1
199006;71.5;1
199007;29.9;1
199008;42.4;1
199009;48.5;1
199010;71.6;1
199011;42.6;1
199012;56.8;1
199101;49.9;1
199102;27;1
199103;71.5;1
199104;44.6;1
199105;17.3;1
199106;103.5;1
199107;66.3;1
199108;42.1;1
199109;79.3;1
199110;32.2;1
199111;60.8;1
199112;31.8;1
199201;5.7;1
199202;30.3;1
199203;54.5;1
199204;46.5;1
199205;51.5;1
199206;33.1;1
199207;49.9;1
199208;52.1;1
199209;50.8;1
199210;61.7;1
199211;104.1;1
199212;51.5;1
199301;65.8;1
199302;17.8;1
199303;8.4;1
199304;117.8;1
199305;54.1;1
199306;41.9;1
199307;101.9;1
199308;18.5;1
199309;120.7;1
199310;100.2;1
199311;26.9;1
199312;105;1
199401;81.7;1
199402;76;1
199403;63.4;1
199404;51.9;1
199405;74.7;1
199406;60.5;1
199407;53.6;1
199408;48;1
199409;103.6;1
199410;60.6;1
199411;75.9;1
199412;67.1;1
199501;121.8;1
199502;74.1;1
199503;107.4;1
199504;84.1;1
199505;73.8;1
199506;27.4;1
199507;39.2;1
199508;59.7;1
199509;73.3;1
199510;39.8;1
199511;16.1;1
199512;41.8;1
199601;59.2;1
199602;57.3;1
199603;15.8;1
199604;6.8;1
199605;64;1
199606;10.2;1
199607;36.5;1
199608;73.3;1
199609;46.9;1
199610;45.6;1
199611;94;1
