# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 18097001
# NOM_USUEL= FUSSY
# LATITUDE (°) = 47.145
# LONGITUDE(°)= 2.43
# ALTITUDE (m) = 152
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2022-04-01
# NUM_SERIE= MRR118097001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : 196612 197909
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;49.5;1
194702;32.2;1
194703;79.8;1
194704;50.9;1
194705;79.6;1
194706;34.4;1
194707;15;1
194708;59.2;1
194709;25.9;1
194710;9.6;1
194711;58.3;1
194712;61.7;1
194801;77;1
194802;74.6;1
194803;20.2;1
194804;91.4;1
194805;102.6;1
194806;86.8;1
194807;33.4;1
194808;79.7;1
194809;67.2;1
194810;15.5;1
194811;46.1;1
194812;54.7;1
194901;27.9;1
194902;28.9;1
194903;41.6;1
194904;29.4;1
194905;51.4;1
194906;19.7;1
194907;12.2;1
194908;78.3;1
194909;133.5;1
194910;46;1
194911;104.6;1
194912;116.2;1
195001;23.3;1
195002;52.7;1
195003;22.5;1
195004;54.9;1
195005;125.7;1
195006;39.4;1
195007;29.8;1
195008;85.2;1
195009;43.3;1
195010;36.3;1
195011;122.6;1
195012;87.2;1
195101;28.9;1
195102;57.9;1
195103;62.5;1
195104;35.9;1
195105;67.2;1
195106;115.7;1
195107;15;1
195108;65.6;1
195109;88.3;1
195110;22.4;1
195111;112;1
195112;39.2;1
195201;98.7;1
195202;58.3;1
195203;97.1;1
195204;7.4;1
195205;67.1;1
195206;6.6;1
195207;6.4;1
195208;55.4;1
195209;108.8;1
195210;155.8;1
195211;124.4;1
195212;123;1
195301;10.9;1
195302;33.5;1
195303;6;1
195304;72.7;1
195305;34.8;1
195306;79.5;1
195307;51.9;1
195308;36.1;1
195309;61.5;1
195310;61.5;1
195311;17.1;1
195312;31.1;1
195401;57.8;1
195402;73.7;1
195403;82.4;1
195404;29.4;1
195405;52.2;1
195406;62.5;1
195407;31.9;1
195408;113.1;1
195409;54.3;1
195410;55.2;1
195411;45.6;1
195412;89.7;1
195501;132.6;1
195502;88.7;1
195503;58.2;1
195504;0.7;1
195505;39.9;1
195506;77.3;1
195507;36.4;1
195508;34.4;1
195509;26;1
195510;32;1
195511;31.6;1
195512;131.6;1
195601;66.5;1
195602;5.7;1
195603;33.8;1
195604;94.3;1
195605;68.2;1
195606;62.8;1
195607;63;1
195608;96.8;1
195609;92.9;1
195610;45.5;1
195611;46.5;1
195612;58.8;1
195701;49;1
195702;151.4;1
195703;38.6;1
195704;20.2;1
195705;33.5;1
195706;67.8;1
195707;66.1;1
195708;62.5;1
195709;77.6;1
195710;52.8;1
195711;34.6;1
195712;61.6;1
195801;89.6;1
195802;68.4;1
195803;49.5;1
195804;28.8;1
195805;125.5;1
195806;63.7;1
195807;145.7;1
195808;102.9;1
195809;72.6;1
195810;62.6;1
195811;74.8;1
195812;108.4;1
195901;75.9;1
195902;0;1
195903;58.6;1
195904;119.5;1
195905;47.2;1
195906;90.8;1
195907;18.4;1
195908;32.9;1
195909;20.6;1
195910;54.9;1
195911;65.5;1
195912;62.1;1
196001;71.5;1
196002;40.5;1
196003;69.2;1
196004;24.3;1
196005;68.9;1
196006;63;1
196007;78.4;1
196008;74.7;1
196009;90.6;1
196010;202.3;1
196011;80.7;1
196012;78.5;1
196101;104.7;1
196102;36.7;1
196103;4.5;1
196104;57.3;1
196105;56;1
