# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 68307002
# NOM_USUEL= SEWEN FOERSTEL
# LATITUDE (°) = 47.81
# LONGITUDE(°)= 6.906
# ALTITUDE (m) = 512
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2021-07-14
# NUM_SERIE= MRR268307002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195801 201912
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195801 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;338;1
195802;453;1
195803;110;1
195804;101;1
195805;127;1
195806;205;1
195807;109.3;1
195808;189.2;1
195809;86.3;1
195810;107.4;1
195811;57.8;1
195812;281.1;1
195901;423.7;1
195902;12.3;1
195903;98.9;1
195904;173;1
195905;41.7;1
195906;137.5;1
195907;56.1;1
195908;59.8;1
195909;18.4;1
195910;40.9;1
195911;85;1
195912;269.7;1
196001;184.8;1
196002;246.5;1
196003;113.5;1
196004;33.4;1
196005;92.3;1
196006;87.3;1
196007;138.8;1
196008;217.1;1
196009;132.3;1
196010;191;1
196011;247.4;1
196012;160.2;1
196101;298.4;1
196102;179.2;1
196103;55.6;1
196104;94.2;1
196105;101.6;1
196106;93.9;1
196107;228.1;1
196108;104.3;1
196109;60.5;1
196110;175.7;1
196111;137.2;1
196112;399.3;1
196201;346.2;1
196202;186.2;1
196203;295.9;1
196204;235.5;1
196205;151;1
196206;20.2;1
196207;55.8;1
196208;63.7;1
196209;152.6;1
196210;19.7;1
196211;89.6;1
196212;264.4;1
196301;66.7;1
196302;74.6;1
196303;201.1;1
196304;77.8;1
196305;48.1;1
196306;160.9;1
196307;51.8;1
196308;384.5;1
196309;69.8;1
196310;104.5;1
196311;462.3;1
196312;12.7;1
196401;46.6;1
196402;44.7;1
196403;131.2;1
196404;77.7;1
196405;138.9;1
196406;69.4;1
196407;19.1;1
196408;112.2;1
196409;105.1;1
196410;252.1;1
196411;334.1;1
196412;59;1
196501;284.3;1
196502;40.2;1
196503;391.4;1
196504;139.2;1
196505;184.4;1
196506;98.5;1
196507;137.9;1
196508;106;1
196509;228;1
196510;26.1;1
196511;418.8;1
196512;589.1;1
196601;328;1
196602;214.7;1
196603;186.5;1
196604;146.8;1
196605;116.1;1
196606;106.4;1
196607;93.5;1
196608;226.3;1
196609;111.9;1
196610;111.3;1
196611;183.7;1
196612;563;1
196701;171.4;1
196702;220.8;1
196703;174;1
196704;71.2;1
196705;185.4;1
196706;44.2;1
196707;26.4;1
196708;161.2;1
196709;175.9;1
196710;180.7;1
196711;208.5;1
196712;229.2;1
196801;268.1;1
196802;185.5;1
196803;142.8;1
196804;157.4;1
196805;91.8;1
196806;64.4;1
196807;131;1
196808;249.6;1
196809;268.8;1
196810;119.1;1
196811;62.8;1
196812;166.4;1
196901;127.7;1
196902;161.2;1
196903;219.8;1
196904;316.8;1
196905;132.6;1
196906;177.7;1
196907;60.8;1
196908;130.6;1
196909;15.6;1
196910;3.5;1
196911;312.2;1
196912;127;1
197001;161.9;1
197002;635;1
197003;140.7;1
197004;265.5;1
197005;124.1;1
197006;191.8;1
197007;99;1
197008;73.2;1
197009;104.1;1
197010;144.1;1
197011;227.7;1
197012;81.6;1
197101;220.7;1
197102;40.7;1
197103;94.1;1
197104;29.8;1
197105;71.5;1
197106;147.2;1
197107;38.2;1
197108;151;1
197109;13.9;1
197110;26.8;1
197111;215.9;1
197112;30.8;1
197201;70.2;1
197202;92.4;1
197203;131.1;1
197204;165.5;1
197205;141.1;1
197206;135;1
197207;74.6;1
197208;62.5;1
197209;41;1
197210;43.3;1
197211;458.9;1
197212;79;1
197301;50;1
197302;121.8;1
197303;23.1;1
197304;125.6;1
197305;126.9;1
197306;88.7;1
197307;109.8;1
197308;139.4;1
197309;54.2;1
197310;189.7;1
197311;261.4;1
197312;201.9;1
197401;181.9;1
197402;181.7;1
197403;168.5;1
197404;22.3;1
197405;73.7;1
197406;98.7;1
197407;70;1
197408;69.2;1
197409;243.5;1
197410;358;1
197411;260.1;1
197412;266.8;1
197501;334;1
197502;24.5;1
197503;98;1
197504;130;1
197505;109.8;1
197506;111;1
197507;49.1;1
197508;150;1
197509;138.6;1
197510;41.3;1
197511;230;1
197512;31;1
197601;184.4;1
197602;74.1;1
197603;33.8;1
197604;55.6;1
197605;36.8;1
197606;21.5;1
197607;82.3;1
197608;31.3;1
197609;140.3;1
197610;88;1
197611;198.8;1
197612;226.3;1
197701;255.9;1
197702;415.9;1
197703;95.3;1
197704;222.7;1
197705;64.7;1
197706;150.5;1
197707;162.6;1
197708;78.2;1
197709;27.3;1
197710;94;1
197711;393.8;1
197712;156.2;1
197801;188.9;1
197802;147;1
197803;317.5;1
197804;44.6;1
197805;112.3;1
197806;95.1;1
197807;172.8;1
197808;122.7;1
197809;115.4;1
197810;30.9;1
197811;7.1;1
197812;476.1;1
197901;153.1;1
197902;294.7;1
197903;291.6;1
197904;180.8;1
197905;108.4;1
197906;96.9;1
197907;74;1
197908;171.7;1
197909;32.9;1
197910;69.6;1
197911;338;1
197912;492.2;1
198001;254.8;1
198002;297.8;1
198003;187.4;1
198004;31.6;1
198005;91.1;1
198006;226.2;1
198007;200.5;1
198008;92.6;1
198009;79.9;1
198010;178.4;1
198011;110;1
198012;208.5;1
198101;252.2;1
198102;130.3;1
198103;194.6;1
198104;46.3;1
198105;133.2;1
198106;76.9;1
198107;118.2;1
198108;49.5;1
198109;143.9;1
198110;464.9;1
198111;156.8;1
198112;553.8;1
198201;331.3;1
198202;21.5;1
198203;208.9;1
198204;45.8;1
198205;77.3;1
198206;235.8;1
198207;149.9;1
198208;172.8;1
198209;69.7;1
198210;321.9;1
198211;168.5;1
198212;477.4;1
198301;274.4;1
198302;185.5;1
198303;111.3;1
198304;417.6;1
198305;305.4;1
198306;49;1
198307;47.6;1
198308;69.4;1
198309;133.5;1
198310;91.9;1
198311;263.8;1
198312;145.2;1
198401;510.7;1
198402;253.7;1
198403;88.2;1
198404;43.3;1
198405;141.5;1
198406;58.2;1
198407;58.8;1
198408;55.2;1
198409;231.1;1
198410;143.2;1
198411;221;1
198412;62.6;1
198501;178.4;1
198502;78.1;1
198503;95.5;1
198504;187.1;1
198505;119.3;1
198506;212.4;1
198507;93;1
198508;48.2;1
198509;61.6;1
198510;12.1;1
198511;221.4;1
198512;145.1;1
198601;449.1;1
198602;71.7;1
198603;294.1;1
198604;173;1
198605;78.6;1
198606;127.9;1
198607;83.4;1
198608;136.3;1
198609;84.9;1
198610;299.9;1
198611;106.5;1
198612;318.2;1
198701;99.9;1
198702;123.8;1
198703;219.2;1
198704;55.3;1
198705;220.7;1
198706;253.6;1
198707;176.1;1
198708;99.8;1
198709;126.5;1
198710;167.1;1
198711;176.2;1
198712;102.1;1
198801;446.9;1
198802;300.6;1
198803;497.1;1
198804;33.3;1
198805;146.2;1
198806;98.6;1
198807;81.4;1
198808;85.1;1
198809;130.9;1
198810;220.2;1
198811;54.4;1
198812;256;1
198901;37.1;1
198902;223.9;1
198903;157.1;1
198904;163.2;1
198905;45;1
198906;49;1
198907;115;1
198908;77.2;1
198909;42.7;1
198910;95.5;1
198911;100.5;1
198912;267;1
199001;132.3;1
199002;580.5;1
199003;29;1
199004;93.4;1
199005;38;1
199006;169.5;1
199007;122.5;1
199008;54.5;1
199009;152.8;1
199010;202.5;1
199011;257.7;1
199012;210;1
199101;189.5;1
199102;56.6;1
199103;59.7;1
199104;68.2;1
199105;35.6;1
199106;153.9;1
199107;102.9;1
199108;26.9;1
199109;161.4;1
199110;99.4;1
199111;253.6;1
199112;230.2;1
199201;13.4;1
199202;136.4;1
199203;311.3;1
199204;132.2;1
199205;69.9;1
199206;119.3;1
199207;107.5;1
199208;92.5;1
199209;92.1;1
199210;310.1;1
199211;393.4;1
199212;111.2;1
199301;202.7;1
199302;32.3;1
199303;32.1;1
199304;95.7;1
199305;104.4;1
199306;122.2;1
199307;119.9;1
199308;93.4;1
199309;179.8;1
199310;205.8;1
199311;72;1
199312;677.9;1
199401;351.8;1
199402;186.3;1
199403;195.1;1
199404;166.4;1
199405;152.5;1
199406;75.5;1
199407;92.9;1
199408;169.2;1
199409;179.5;1
199410;188.8;1
199411;58.7;1
199412;382.6;1
199501;576.3;1
199502;344.2;1
199503;414.7;1
199504;64.5;1
199505;209.3;1
199506;53;1
199507;64.1;1
199508;107.4;1
199509;218.1;1
199510;66.1;1
199511;133;1
199512;232.2;1
199601;28.6;1
199602;137.3;1
199603;20.5;1
199604;36.6;1
199605;198.6;1
199606;74.7;1
199607;148.5;1
199608;159.1;1
199609;37.2;1
199610;143.4;1
199611;371.2;1
199612;107.1;1
199701;74.8;1
199702;386.5;1
199703;60;1
199704;76.3;1
199705;165;1
199706;256.4;1
199707;70.2;1
199708;112.2;1
199709;43.2;1
199710;139.4;1
199711;207.2;1
199712;313.9;1
199801;314.7;1
199802;36.3;1
199803;121.7;1
199804;255.9;1
199805;59.2;1
199806;118.2;1
199807;96.3;1
199808;142.4;1
199809;283.8;1
199810;455.2;1
199811;174.6;1
199812;90.2;1
199901;294.5;1
199902;256.3;1
199903;246.7;1
199904;180.3;1
199905;128.7;1
199906;171;1
199907;98.3;1
199908;145.7;1
199909;160.2;1
199910;211.6;1
199911;58.8;1
199912;603.9;1
200001;146.9;1
200002;360;1
200003;85.2;1
200004;99.4;1
200005;213.8;1
200006;64.6;1
200007;314.2;1
200008;146.4;1
200009;90;1
200010;184.5;1
200011;248.3;1
200012;187.5;1
200101;253.2;1
200102;159.8;1
200103;554.5;1
200104;195.4;1
200105;106.6;1
200106;108.7;1
200107;158.5;1
200108;66.7;1
200109;245.7;1
200110;136;1
200111;191.6;1
200112;299.1;1
200201;164.8;1
200202;423.7;1
200203;213.2;1
200204;67;1
200205;110.6;1
200206;118;1
200207;86.8;1
200208;124.3;1
200209;68.5;1
200210;305.5;1
200211;387.4;1
200212;203.1;1
200301;319.2;1
200302;85.1;1
200303;58;1
200304;101;1
200305;96.6;1
200306;52.4;1
200307;112.1;1
200308;46.8;1
200309;59.9;1
200310;279;1
200311;72.5;1
200312;150.5;1
200401;501.5;1
200402;40.2;1
200403;117.1;1
200404;121.5;1
200405;146.5;1
200406;63.5;1
200407;91.7;1
200408;246.4;1
200409;57.6;1
200410;331.8;1
200411;94.6;1
200412;182;1
200501;180.1;1
200502;133.7;1
200503;43.9;1
200504;156.9;1
200505;147.2;1
200506;81.9;1
200507;141.7;1
200508;69.9;1
200509;45.7;1
200510;71.4;1
200511;83.3;1
200512;230.6;1
200601;95;1
200602;178.6;1
200603;391;1
