# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 72155001
# NOM_USUEL= LAIGNE EN BELIN
# LATITUDE (°) = 47.877
# LONGITUDE(°)= 0.232
# ALTITUDE (m) = 65
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR072155001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195601 202012
# Date(s) de rupture(s) d'homogénéité : 195912 197006 198012
#     Periode homogénéisée  195601 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;115.3;1
195602;11.7;1
195603;30;1
195604;49.7;1
195605;46.3;1
195606;42.1;1
195607;87.1;1
195608;98.3;1
195609;46.3;1
195610;25.7;1
195611;22.9;1
195612;49.3;1
195701;25.7;1
195702;117.8;1
195703;23.8;1
195704;49.9;1
195705;33.8;1
195706;91.3;1
195707;92.7;1
195708;76.8;1
195709;87.1;1
195710;19.3;1
195711;58.1;1
195712;47.2;1
195801;111.6;1
195802;85.3;1
195803;64.4;1
195804;52.5;1
195805;70.1;1
195806;142.2;1
195807;23.9;1
195808;71.3;1
195809;28.6;1
195810;36.1;1
195811;46.3;1
195812;78.4;1
195901;103.1;1
195902;6.8;1
195903;58.3;1
195904;84.3;1
195905;58;1
195906;44.7;1
195907;5.1;1
195908;54.4;1
195909;2;1
195910;78.4;1
195911;45.8;1
195912;174.5;1
196001;49.6;1
196002;45.9;1
196003;82.7;1
196004;25.4;1
196005;59.5;1
196006;55.3;1
196007;70.5;1
196008;71.7;1
196009;97.6;1
196010;148.5;1
196011;183.5;1
196012;113.5;1
196101;123.7;1
196102;37.4;1
196103;1.1;1
196104;59;1
196105;45;1
196106;22.6;1
196107;58;1
196108;4.4;1
196109;55.5;1
196110;108.6;1
196111;110.8;1
196112;114.1;1
196201;95.5;1
196202;38.2;1
196203;108.9;1
196204;72.7;1
196205;38.6;1
196206;40.4;1
196207;37.5;1
196208;24.6;1
196209;62.4;1
196210;70.1;1
196211;140.2;1
196212;57.7;1
196301;40.4;1
196302;50.1;1
196303;98.7;1
196304;70.7;1
196305;59.9;1
196306;110.8;1
196307;21.5;1
196308;111.5;1
196309;30;1
196310;37;1
196311;102.3;1
196312;7.3;1
196401;22.1;1
196402;101.6;1
196403;90.5;1
196404;45.5;1
196405;55.7;1
196406;53.5;1
196407;19;1
196408;15.6;1
196409;27.6;1
196410;44.7;1
196411;24.9;1
196412;76.5;1
196501;139.4;1
196502;3.6;1
196503;77.6;1
196504;62.4;1
196505;42.4;1
196506;29.1;1
196507;18.5;1
196508;147.6;1
196509;150.5;1
196510;27.4;1
196511;130.1;1
196512;136.4;1
196601;92.1;1
196602;86.8;1
196603;19.7;1
196604;130.7;1
196605;38.4;1
196606;44.1;1
196607;84.1;1
196608;67;1
196609;29.3;1
196610;200.2;1
196611;107.3;1
196612;93.3;1
196701;25.3;1
196702;78.7;1
196703;74.1;1
196704;38.4;1
196705;113.2;1
196706;65.3;1
196707;14.1;1
196708;50.5;1
196709;103.4;1
196710;86.6;1
196711;80.8;1
196712;81.6;1
196801;75.1;1
196802;84.8;1
196803;50.9;1
196804;43.8;1
196805;47.3;1
196806;62.9;1
196807;40.3;1
196808;103.2;1
196809;110.9;1
196810;43.5;1
196811;11;1
196812;56.5;1
196901;58.4;1
196902;32.7;1
196903;69.8;1
196904;44.1;1
196905;87.5;1
196906;33.3;1
196907;30.6;1
196908;14;1
196909;42.9;1
196910;20.5;1
196911;176.1;1
196912;82.3;1
197001;87;1
197002;125;1
197003;45.3;1
197004;28.2;1
197005;4.5;1
197006;103.9;1
197007;18.8;1
197008;103.1;1
197009;28.1;1
197010;28.5;1
197011;102.9;1
197012;22.8;1
197101;72.9;1
197102;28.8;1
197103;42.5;1
197104;45.1;1
197105;95.8;1
197106;59.2;1
197107;80.2;1
197108;98.1;1
197109;14.8;1
197110;7.9;1
197111;65.6;1
197112;18.3;1
197201;87;1
197202;81.2;1
197203;37.6;1
197204;49.5;1
197205;29.3;1
197206;55.2;1
197207;17.6;1
197208;63.7;1
197209;25.7;1
197210;17.7;1
197211;108;1
197212;22.7;1
197301;37.4;1
197302;47.5;1
197303;6.7;1
197304;38.3;1
197305;86.5;1
197306;33.1;1
197307;58.3;1
197308;19.1;1
197309;121.8;1
197310;28.3;1
197311;35.4;1
197312;70.1;1
197401;83.6;1
197402;62;1
197403;54;1
197404;34;1
197405;36.8;1
197406;74.3;1
197407;18.3;1
197408;50;1
197409;89.9;1
197410;66.6;1
197411;92.9;1
197412;47.8;1
197501;88.4;1
197502;18.8;1
197503;78;1
197504;50.3;1
197505;78.9;1
197506;16.2;1
197507;98.5;1
197508;34.7;1
197509;139.8;1
197510;31.1;1
197511;89.8;1
197512;22.1;1
197601;17.9;1
197602;48;1
197603;32;1
197604;13.6;1
197605;13;1
197606;0;1
197607;84.5;1
197608;18.8;1
197609;101.3;1
197610;79.4;1
197611;82.7;1
197612;53.4;1
197701;53.7;1
197702;128.9;1
197703;55.2;1
197704;35.3;1
197705;54.3;1
197706;45.7;1
197707;65.2;1
197708;54.9;1
197709;8;1
197710;45.9;1
197711;51.2;1
197712;72.3;1
197801;98.9;1
197802;84.1;1
197803;96;1
197804;59;1
197805;80.6;1
197806;126.6;1
197807;41.8;1
197808;30.9;1
197809;20;1
197810;5.2;1
197811;17.4;1
197812;131.3;1
197901;59.7;1
197902;108;1
197903;95.9;1
197904;62.4;1
197905;77.4;1
197906;43.7;1
197907;15;1
197908;43.4;1
197909;18.8;1
197910;117.4;1
197911;32.7;1
197912;150.1;1
198001;65.8;1
198002;66.9;1
198003;125.6;1
198004;2.7;1
198005;61.2;1
198006;101;1
198007;106;1
198008;5.7;1
198009;51.4;1
198010;59.7;1
198011;56.9;1
198012;92.1;1
198101;58.3;1
198102;61.8;1
198103;97.4;1
198104;27.4;1
198105;135.3;1
198106;25.4;1
198107;54.1;1
198108;17.1;1
198109;48.9;1
198110;123;1
198111;39.5;1
198112;123.4;1
198201;77.3;1
198202;39.2;1
198203;57.6;1
198204;10.4;1
198205;37.6;1
198206;73.1;1
198207;58.5;1
198208;36.8;1
198209;63.2;1
198210;122;1
198211;69;1
198212;123;1
198301;59;1
198302;71.7;1
198303;32.3;1
198304;169.4;1
198305;93.4;1
198306;28.2;1
198307;102.9;1
198308;53.2;1
198309;77.8;1
198310;29.6;1
198311;34;1
198312;50.2;1
198401;124.7;1
198402;29.7;1
198403;71.8;1
198404;3.5;1
198405;137;1
198406;39.4;1
198407;40.4;1
198408;36.9;1
198409;119.9;1
198410;94.2;1
198411;129.6;1
198412;53;1
198501;44.7;1
198502;47.5;1
198503;53.4;1
198504;96.2;1
198505;78.9;1
198506;38.9;1
198507;32.1;1
198508;40.7;1
198509;24.4;1
198510;10.1;1
198511;62.6;1
198512;50.7;1
198601;117.5;1
198602;56.5;1
198603;82.3;1
198604;75.7;1
198605;17.9;1
198606;15.8;1
198607;17.8;1
198608;46.6;1
198609;53.6;1
198610;76.7;1
198611;44.2;1
198612;78.2;1
198701;21.6;1
198702;41.5;1
198703;43.8;1
198704;30.5;1
198705;33.8;1
198706;86;1
198707;150.7;1
198708;42.8;1
198709;36.5;1
198710;151.7;1
198711;58.8;1
198712;68.7;1
198801;120.6;1
198802;71.8;1
198803;68.1;1
198804;55.4;1
198805;56.7;1
198806;27.5;1
198807;105.7;1
198808;21.9;1
198809;42.2;1
198810;38.4;1
198811;53.2;1
198812;33.1;1
198901;32;1
198902;68.2;1
198903;118.1;1
198904;90.4;1
198905;23.8;1
198906;43.5;1
198907;16.9;1
198908;8.5;1
198909;12.8;1
198910;42.1;1
198911;43.1;1
198912;97.8;1
199001;54.3;1
199002;78.8;1
199003;8.5;1
