# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 43130001
# NOM_USUEL= MAZET-ST-VOY
# LATITUDE (°) = 45.075
# LONGITUDE(°)= 4.285
# ALTITUDE (m) = 905
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = fermé au 2020-12-31
# NUM_SERIE= MRR143130001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 195412
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;59.8;1
195202;34.8;1
195203;53.7;1
195204;51.3;1
195205;106.9;1
195206;55.4;1
195207;8.9;1
195208;81.2;1
195209;39.3;1
195210;112.7;1
195211;107.2;1
195212;80.4;1
195301;12.2;1
195302;20.2;1
195303;3.9;1
195304;51.4;1
195305;61.1;1
195306;146.6;1
195307;25.2;1
195308;28.6;1
195309;171;1
195310;162;1
195311;15.2;1
195312;81.4;1
195401;46.3;1
195402;91.5;1
195403;55.6;1
195404;79.4;1
195405;108.5;1
195406;85.9;1
195407;72.4;1
195408;215.2;1
195409;84.7;1
195410;46.8;1
195411;52.4;1
195412;80.9;1
195501;164;1
195502;109.1;1
195503;44.6;1
195504;9.7;1
195505;52.3;1
195506;160.2;1
195507;81.7;1
195508;34.4;1
195509;50.4;1
195510;90;1
195511;69.1;1
195512;46.7;1
195601;72.3;1
195602;45.5;1
195603;187.5;1
195604;58.8;1
195605;110.6;1
195606;59.8;1
195607;77.2;1
195608;126.8;1
195609;165.8;1
195610;99.2;1
195611;37.3;1
195612;61.3;1
195701;50.6;1
195702;108.8;1
195703;60.4;1
195704;108.9;1
195705;55.2;1
195706;172.1;1
195707;37.9;1
195708;38.6;1
195709;43.7;1
195710;23.4;1
195711;110.7;1
195712;175.9;1
195801;44.8;1
195802;30.5;1
195803;48.9;1
195804;74.3;1
195805;64.7;1
195806;81.9;1
195807;84.7;1
195808;107;1
195809;173.6;1
195810;86.3;1
195811;76.6;1
195812;167.8;1
195901;45.8;1
195902;42.3;1
195903;107.2;1
195904;93.8;1
195905;152.8;1
195906;56.1;1
195907;53.8;1
195908;78.8;1
195909;65.1;1
195910;69.4;1
195911;104.9;1
195912;104.4;1
196001;79.9;1
196002;69.2;1
196003;120.5;1
196004;50.7;1
196005;48;1
196006;93;1
196007;69.2;1
196008;100.8;1
196009;126;1
196010;291.5;1
196011;123.5;1
196012;46.7;1
196101;64.1;1
196102;39.9;1
196103;10.8;1
196104;72.7;1
196105;87.3;1
196106;61.3;1
196107;38.9;1
196108;67.1;1
196109;41.4;1
196110;162.2;1
196111;105.8;1
196112;43.9;1
196201;49.4;1
196202;53.6;1
196203;23.4;1
196204;87.2;1
196205;83.4;1
196206;27.9;1
196207;49.5;1
196208;27.4;1
196209;121.8;1
196210;44.7;1
196211;114.7;1
196212;96;1
196301;67.3;1
196302;69;1
196303;82.5;1
196304;103.2;1
196305;78.4;1
196306;205;1
196307;99.5;1
196308;205.3;1
196309;73.8;1
196310;59.7;1
196311;141.4;1
196312;64.1;1
196401;27.2;1
196402;120;1
196403;117.6;1
196404;130.7;1
196405;78.1;1
196406;64.2;1
196407;15.8;1
196408;98.6;1
196409;53.3;1
196410;75.4;1
196411;40;1
196412;58.3;1
196501;71.1;1
196502;31.1;1
196503;54;1
196504;124.6;1
196505;96.4;1
196506;65.9;1
196507;93.5;1
196508;38.9;1
196509;265.7;1
196510;53.7;1
196511;105.6;1
196512;76.5;1
196601;54.1;1
196602;105.5;1
196603;70.9;1
196604;63;1
196605;90.6;1
196606;71.1;1
196607;95.4;1
196608;20.7;1
196609;26;1
196610;240.1;1
196611;153.2;1
196612;79.2;1
196701;42.2;1
196702;36.3;1
196703;95.6;1
196704;48;1
196705;118.5;1
196706;77.8;1
196707;47.1;1
196708;53;1
196709;59;1
196710;18.1;1
196711;110.4;1
196712;52.1;1
196801;86.6;1
196802;84;1
196803;22.1;1
196804;73.1;1
196805;193.2;1
196806;29.5;1
196807;50.6;1
196808;112.6;1
196809;125.5;1
196810;71;1
196811;95.8;1
196812;116;1
196901;91.6;1
196902;69.5;1
196903;53.8;1
196904;103.8;1
196905;120.9;1
196906;159.4;1
196907;72.9;1
196908;65.9;1
196909;132.7;1
196910;41.4;1
196911;89.3;1
196912;50;1
197001;91.1;1
197002;74.5;1
197003;93.7;1
197004;86.9;1
197005;92.3;1
197006;79;1
197007;31.2;1
197008;61.1;1
197009;14.4;1
197010;155.2;1
197011;83.9;1
197012;88.9;1
197101;111.8;1
197102;28.7;1
197103;136.1;1
197104;147.6;1
197105;85.4;1
197106;106.3;1
197107;50.8;1
197108;59.5;1
197109;21.9;1
197110;26.5;1
197111;114.9;1
197112;49.1;1
197201;116.7;1
197202;146.2;1
197203;59.2;1
197204;75.9;1
197205;78.8;1
197206;88.7;1
197207;49.1;1
197208;69.8;1
197209;22.4;1
197210;121.3;1
197211;49;1
197212;95.9;1
197301;69.8;1
197302;57.5;1
197303;41.9;1
197304;57.6;1
197305;104.6;1
197306;65.9;1
197307;84.4;1
197308;75.2;1
197309;65;1
197310;107.6;1
197311;27.5;1
197312;149.2;1
197401;45.1;1
197402;122.6;1
197403;88.8;1
197404;71.9;1
197405;76.3;1
197406;68.6;1
197407;63.5;1
197408;47.8;1
197409;131.2;1
197410;85.2;1
197411;101.2;1
197412;22.8;1
197501;85.3;1
197502;87;1
197503;95.2;1
197504;24.8;1
197505;126.6;1
197506;68.8;1
197507;72.3;1
197508;156;1
197509;149.9;1
197510;48.7;1
197511;111.9;1
197512;48.5;1
197601;43.1;1
197602;47.8;1
197603;12.1;1
197604;72.5;1
197605;26.5;1
197606;27;1
197607;71.1;1
197608;162.6;1
197609;144.3;1
197610;236.4;1
197611;157.2;1
197612;56.3;1
197701;97.7;1
197702;80.9;1
197703;86.2;1
197704;59.3;1
197705;211.1;1
197706;132.7;1
197707;202.7;1
197708;68;1
197709;21.6;1
197710;161.1;1
197711;51.9;1
197712;94.6;1
197801;77.4;1
197802;102.5;1
197803;114.4;1
197804;99.9;1
197805;122.8;1
197806;29.1;1
197807;28.7;1
197808;166.1;1
197809;31.5;1
197810;43.4;1
197811;28.1;1
197812;108.2;1
197901;36.7;1
197902;56.3;1
197903;92.1;1
197904;81.8;1
197905;88;1
197906;111.1;1
197907;14.1;1
197908;88.3;1
197909;23;1
197910;346.4;1
197911;40.1;1
197912;113.7;1
198001;33.3;1
198002;28.4;1
198003;125.1;1
198004;64.1;1
198005;110.1;1
198006;53.9;1
198007;63.1;1
198008;100.1;1
198009;254.2;1
198010;150.7;1
198011;99.4;1
198012;71.3;1
198101;92.2;1
198102;33.8;1
198103;109.5;1
198104;30.5;1
198105;154.1;1
198106;96.1;1
198107;70.6;1
198108;62.4;1
198109;260.9;1
198110;55.6;1
198111;30.4;1
198112;154.1;1
198201;63.4;1
198202;15.5;1
198203;49.3;1
198204;28.8;1
198205;27.6;1
198206;69.1;1
198207;115.5;1
198208;102;1
198209;109.9;1
198210;62.1;1
198211;228.6;1
198212;78.5;1
198301;24.2;1
198302;74.4;1
198303;101.2;1
198304;265.8;1
198305;219.5;1
198306;76.5;1
198307;32.1;1
198308;119.3;1
198309;65.3;1
198310;79.7;1
198311;15.2;1
198312;74.2;1
198401;88.3;1
198402;43.7;1
198403;74.4;1
198404;14;1
198405;156.2;1
198406;92.5;1
198407;26.7;1
198408;121.5;1
198409;100.7;1
198410;97;1
198411;167.3;1
198412;79.1;1
198501;44.1;1
198502;13.9;1
198503;116.7;1
198504;72.4;1
198505;163.7;1
198506;92.7;1
198507;16.6;1
198508;34.5;1
198509;2.2;1
198510;26.9;1
198511;25.1;1
198512;63.7;1
198601;104.6;1
198602;61;1
198603;29.6;1
198604;247.1;1
198605;124;1
198606;39.8;1
198607;39.3;1
198608;56.6;1
198609;82.5;1
198610;51.3;1
198611;109.7;1
198612;90.3;1
198701;72.5;1
198702;87.6;1
198703;39.1;1
198704;141.8;1
198705;93.5;1
198706;81.7;1
198707;62.1;1
198708;52.5;1
198709;38.2;1
198710;212.9;1
198711;83.2;1
198712;36.1;1
198801;139.8;1
198802;87.8;1
198803;114.2;1
198804;75.3;1
198805;230.9;1
198806;75.7;1
198807;94.8;1
198808;128;1
198809;74.1;1
198810;136.8;1
198811;29.2;1
198812;95.8;1
198901;10.6;1
198902;35;1
198903;32.9;1
198904;210.6;1
198905;74.7;1
198906;27.6;1
198907;65;1
198908;76.8;1
198909;48.3;1
198910;46.6;1
198911;82.3;1
198912;28.2;1
199001;70.5;1
199002;57.1;1
199003;61.1;1
199004;91.1;1
199005;129;1
199006;114.9;1
199007;40.6;1
199008;47.6;1
199009;10;1
199010;168.2;1
199011;122.7;1
199012;85.5;1
199101;35.4;1
199102;23;1
199103;132.2;1
199104;59.7;1
199105;59.6;1
199106;106.6;1
199107;22.6;1
199108;47.1;1
199109;135.9;1
199110;101.3;1
199111;39.7;1
199112;25.4;1
199201;38.2;1
199202;32.8;1
199203;60.5;1
199204;66.9;1
199205;62.9;1
199206;230.8;1
199207;85.2;1
199208;87.6;1
199209;189.6;1
199210;127.1;1
199211;96.1;1
199212;50.1;1
199301;5.5;1
199302;26;1
199303;13.2;1
199304;133;1
199305;207.2;1
199306;71.9;1
199307;140;1
199308;55.7;1
199309;238.5;1
199310;259;1
199311;53;1
199312;60.3;1
199401;154.4;1
199402;110.5;1
199403;23.4;1
199404;133.3;1
199405;115;1
199406;90.9;1
199407;62;1
199408;32.7;1
199409;221.4;1
199410;181.7;1
199411;145.8;1
199412;23.2;1
199501;95.1;1
199502;49.1;1
199503;48.8;1
199504;124.7;1
199505;90.2;1
199506;29.3;1
199507;15.7;1
199508;63.8;1
199509;198.7;1
199510;96.4;1
199511;110.8;1
199512;55.3;1
199601;145;1
199602;100.2;1
199603;56.2;1
199604;68;1
199605;126.7;1
199606;79.6;1
199607;88.8;1
199608;54.9;1
199609;28.7;1
199610;88.3;1
199611;363.5;1
199612;44.9;1
199701;94.1;1
199702;12.2;1
199703;9.1;1
199704;23.5;1
199705;74.4;1
199706;109.8;1
199707;75.9;1
199708;39.1;1
199709;39.8;1
199710;144.9;1
199711;83.6;1
199712;127;1
199801;85.4;1
199802;22.9;1
199803;32.1;1
199804;140.6;1
199805;128.8;1
199806;91.8;1
199807;57.9;1
199808;36;1
199809;120.7;1
199810;56.9;1
199811;65.8;1
199812;76;1
199901;84.8;1
199902;69.3;1
199903;64.8;1
199904;75.2;1
199905;135.3;1
199906;62.1;1
199907;32.5;1
199908;69;1
199909;155.7;1
199910;197.4;1
199911;120.2;1
199912;56.6;1
200001;20.5;1
200002;51.1;1
200003;38.2;1
200004;121.1;1
200005;90.1;1
200006;59.6;1
200007;37.6;1
200008;67.1;1
200009;141.9;1
200010;153.6;1
200011;93.4;1
200012;75.8;1
200101;81.8;1
200102;50.6;1
200103;78.2;1
200104;88.1;1
200105;141.2;1
200106;75.6;1
