# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 11016003
# NOM_USUEL= ARQUETTES-EN-VAL
# LATITUDE (°) = 43.101
# LONGITUDE(°)= 2.503
# ALTITUDE (m) = 240
# ETAT DU POSTE (fermé avec date de fermeture AAAA-MM-JJ ou ouvert à la date de production du fichier le 13/03/2025) = ouvert
# NUM_SERIE= MRR011016003
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202412 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;82.9;1
196102;64.6;1
196103;0;1
196104;110.4;1
196105;56.7;1
196106;36.1;1
196107;34.2;1
196108;14.9;1
196109;23.2;1
196110;67.7;1
196111;86.7;1
196112;45.8;1
196201;71.6;1
196202;33.8;1
196203;67.5;1
196204;140.5;1
196205;63.5;1
196206;45.6;1
196207;18;1
196208;16.2;1
196209;78;1
196210;67.6;1
196211;295.6;1
196212;47.9;1
196301;68;1
196302;79.8;1
196303;83;1
196304;92.6;1
196305;15.8;1
196306;22;1
196307;42.6;1
196308;42;1
196309;209.9;1
196310;25.2;1
196311;31.3;1
196312;90.3;1
196401;9.2;1
196402;73;1
196403;73.2;1
196404;49.4;1
196405;57.2;1
196406;4.5;1
196407;13.7;1
196408;20.4;1
196409;69.5;1
196410;119.4;1
196411;117.5;1
196412;138.3;1
196501;97.7;1
196502;38.3;1
196503;54.8;1
196504;83.8;1
196505;63.1;1
196506;48;1
196507;16.1;1
196508;58.5;1
196509;64.3;1
196510;429.5;1
196511;74.8;1
196512;194.2;1
196601;89.5;1
196602;106.1;1
196603;21.3;1
196604;62.9;1
196605;102.5;1
196606;11.6;1
196607;51.6;1
196608;28.8;1
196609;25.4;1
196610;175.2;1
196611;73;1
196612;128.6;1
196701;31.8;1
196702;133.2;1
196703;36.4;1
196704;45.4;1
196705;61;1
196706;25.6;1
196707;6;1
196708;4.2;1
196709;36.3;1
196710;30;1
196711;104;1
196712;52.9;1
196801;84;1
196802;66.4;1
196803;44;1
196804;44.4;1
196805;101.5;1
196806;46;1
196807;23.7;1
196808;44.4;1
196809;71.9;1
196810;5.5;1
196811;262.2;1
196812;138.1;1
196901;39.8;1
196902;47.9;1
196903;192;1
196904;214.5;1
196905;24.7;1
196906;30;1
196907;41.3;1
196908;21.9;1
196909;124.6;1
196910;82.3;1
196911;19.3;1
196912;151.2;1
197001;43.6;1
197002;69.4;1
197003;69.9;1
197004;42.4;1
197005;85;1
197006;66;1
197007;2.9;1
197008;60.8;1
197009;1.4;1
197010;231.3;1
197011;33.1;1
197012;32.2;1
197101;110.3;1
197102;59;1
197103;137.1;1
197104;76.3;1
197105;56.4;1
197106;59.8;1
197107;42.2;1
197108;55;1
197109;120.6;1
197110;33.8;1
197111;79.3;1
197112;222.9;1
197201;178.5;1
197202;91.5;1
197203;77.9;1
197204;112.5;1
197205;62;1
197206;75.8;1
197207;15.9;1
197208;44.5;1
197209;127.7;1
197210;35.1;1
197211;43.1;1
197212;38.1;1
197301;53.4;1
197302;88.9;1
197303;7.5;1
197304;22.3;1
197305;20.6;1
197306;144.4;1
197307;32.8;1
197308;14;1
197309;31.2;1
197310;12;1
197311;18.8;1
197312;152.4;1
197401;36.9;1
197402;155.1;1
197403;146.4;1
197404;84.8;1
197405;36;1
197406;43.5;1
197407;41.4;1
197408;58.5;1
197409;60.1;1
197410;105.9;1
197411;91.8;1
197412;16.4;1
197501;23;1
197502;41.7;1
197503;77.8;1
197504;36;1
197505;123;1
197506;65.1;1
197507;7.7;1
197508;104.6;1
197509;18.3;1
197510;3.2;1
197511;76.6;1
197512;75;1
197601;30.3;1
197602;60.3;1
197603;47.9;1
197604;97.1;1
197605;29.3;1
197606;5.2;1
197607;47.2;1
197608;61.9;1
197609;41.5;1
197610;155.8;1
197611;34.3;1
197612;85.6;1
197701;71.2;1
197702;41.7;1
197703;34.2;1
197704;57.3;1
197705;229.5;1
197706;95.6;1
197707;38.1;1
197708;82.6;1
197709;1.6;1
197710;77.3;1
197711;61.7;1
197712;27.3;1
197801;130.4;1
197802;99.7;1
197803;157.1;1
197804;101;1
197805;66.9;1
197806;40.7;1
197807;19.3;1
197808;6.7;1
197809;26.6;1
197810;32.4;1
197811;8.9;1
197812;61.1;1
197901;147.9;1
197902;82.6;1
197903;62.5;1
197904;118;1
197905;41.7;1
197906;29.4;1
197907;11.4;1
197908;37.1;1
197909;65.9;1
197910;238.2;1
197911;44.8;1
197912;78.9;1
198001;105.1;1
198002;33.7;1
198003;93.4;1
198004;71.3;1
198005;100.7;1
198006;5.7;1
198007;26.4;1
198008;68;1
198009;52.8;1
198010;87.9;1
198011;58.9;1
198012;102.5;1
198101;127.5;1
198102;44.4;1
198103;91;1
198104;86.5;1
198105;60.8;1
198106;70.6;1
198107;33.2;1
198108;10.4;1
198109;36.3;1
198110;52.8;1
198111;11.8;1
198112;201.6;1
198201;181.5;1
198202;171.3;1
198203;103.7;1
198204;24;1
198205;9.6;1
198206;24.9;1
198207;26;1
198208;88.7;1
198209;36.5;1
198210;99.7;1
198211;57.4;1
198212;126.6;1
198301;24.5;1
198302;115.9;1
198303;41.6;1
198304;44.2;1
198305;38;1
198306;62.4;1
198307;3.1;1
198308;192;1
198309;12.7;1
198310;41.2;1
198311;66.6;1
198312;32.5;1
198401;78.8;1
198402;77.5;1
198403;94.4;1
198404;54;1
198405;89.4;1
198406;18.3;1
198407;4.4;1
198408;67.7;1
198409;84.6;1
198410;32.7;1
198411;114;1
198412;58;1
198501;50;1
198502;83.8;1
198503;68.6;1
198504;79.7;1
198505;102.1;1
198506;34.1;1
198507;11.9;1
198508;39.9;1
198509;0;1
198510;152.7;1
198511;30.9;1
198512;37.7;1
198601;200;1
198602;39.3;1
198603;48.8;1
198604;100.3;1
198605;13.5;1
198606;12.1;1
198607;2.1;1
198608;28.8;1
198609;36.2;1
198610;106.3;1
198611;36.9;1
198612;80;1
198701;30;1
198702;62;1
198703;108.6;1
198704;38.4;1
198705;52.8;1
198706;33.9;1
198707;77.9;1
198708;32.8;1
198709;25.2;1
198710;152.7;1
198711;54.6;1
198712;54.1;1
198801;210.3;1
198802;57.6;1
198803;127.5;1
198804;200.8;1
198805;31.9;1
198806;37;1
198807;5.2;1
198808;16.9;1
198809;22.9;1
198810;17.2;1
198811;82.8;1
198812;34.4;1
198901;40;1
198902;54.1;1
198903;23.1;1
198904;116.4;1
198905;10.3;1
198906;5.2;1
198907;10.8;1
198908;69.5;1
198909;71.5;1
198910;31.5;1
198911;97.4;1
198912;16.4;1
199001;25.7;1
199002;160.3;1
199003;21.9;1
199004;88.2;1
199005;88.4;1
199006;38;1
199007;111.3;1
199008;32.8;1
199009;31.9;1
199010;97.6;1
199011;37.4;1
199012;47.4;1
199101;27.1;1
199102;66.4;1
199103;220.7;1
199104;92;1
199105;127.2;1
199106;57.1;1
199107;9.4;1
199108;47.8;1
199109;48.1;1
199110;92.2;1
199111;68.7;1
199112;59.2;1
199201;152.6;1
199202;23.6;1
199203;72;1
199204;107;1
199205;76.2;1
199206;139.2;1
199207;30.4;1
199208;30.4;1
199209;93.6;1
199210;200.4;1
199211;58.4;1
199212;78.2;1
199301;3;1
199302;63.8;1
199303;59.8;1
199304;180.6;1
199305;52.4;1
199306;23.4;1
199307;19.8;1
199308;12.4;1
199309;151;1
199310;119;1
199311;94.4;1
199312;95;1
199401;60.8;1
199402;66.4;1
199403;21.4;1
199404;206.2;1
199405;56.4;1
199406;64.6;1
199407;10.2;1
199408;18.6;1
199409;122.5;1
199410;64.4;1
199411;47.8;1
199412;31;1
199501;69.4;1
199502;53;1
199503;54.4;1
199504;41.2;1
199505;82.2;1
199506;32.4;1
199507;42.2;1
199508;36.8;1
199509;72.8;1
199510;54;1
199511;61.2;1
199512;167.2;1
199601;143.8;1
199602;130.2;1
199603;84.4;1
199604;72.2;1
199605;60.2;1
199606;36.6;1
199607;75.4;1
199608;88.4;1
199609;85.6;1
199610;82.8;1
199611;210.8;1
199612;230;1
199701;97.4;1
199702;33.4;1
199703;8.2;1
199704;29;1
199705;64.8;1
199706;113.6;1
199707;26.4;1
199708;94.2;1
199709;25.8;1
199710;59.6;1
199711;83.8;1
199712;65.4;1
199801;36.6;1
199802;49;1
199803;42.6;1
199804;113.6;1
199805;27;1
199806;33.8;1
199807;22.6;1
199808;44.2;1
199809;57.4;1
199810;58;1
199811;85.8;1
199812;60;1
199901;87;1
199902;36;1
199903;44.4;1
199904;126.2;1
199905;120.8;1
199906;27.6;1
199907;19.2;1
199908;116;1
199909;40.4;1
199910;30.6;1
199911;364.4;1
199912;63;1
200001;61.2;1
200002;64;1
200003;80;1
200004;64.2;1
200005;79.4;1
200006;144.6;1
200007;45.2;1
200008;36.2;1
200009;20.4;1
200010;98.4;1
200011;66.4;1
200012;160.8;1
200101;140;1
200102;31.2;1
200103;81.6;1
200104;85.4;1
200105;47.8;1
200106;71.6;1
200107;67;1
200108;2.8;1
200109;55.4;1
200110;13.6;1
200111;78;1
200112;13.6;1
200201;37.4;1
200202;88.6;1
200203;46.8;1
200204;162;1
200205;88.2;1
200206;67.6;1
200207;49.2;1
200208;56.8;1
200209;64.6;1
200210;74.8;1
200211;101.6;1
200212;72.8;1
200301;60.4;1
200302;144.6;1
200303;38.2;1
200304;45.8;1
200305;69.8;1
200306;24.4;1
200307;5.4;1
200308;23.6;1
200309;53.8;1
200310;91.8;1
200311;61;1
200312;218;1
200401;156.2;1
200402;62.6;1
200403;76.4;1
200404;148;1
200405;75.2;1
200406;11.8;1
200407;6.2;1
200408;37.6;1
200409;50.2;1
200410;71;1
200411;38.8;1
200412;116.2;1
200501;46.6;1
200502;157.8;1
200503;25.8;1
200504;60.8;1
200505;55;1
200506;16.6;1
200507;10.2;1
200508;40.2;1
200509;100.8;1
200510;216.2;1
200511;189;1
200512;56.8;1
200601;199.8;1
200602;21.8;1
200603;108.8;1
200604;12.2;1
200605;17.6;1
200606;11.6;1
200607;27.6;1
200608;42;1
200609;78.8;1
200610;59.6;1
200611;46.4;1
200612;13.4;1
200701;27.8;1
200702;166.8;1
200703;74;1
200704;88.6;1
200705;117.4;1
200706;42;1
200707;18.8;1
200708;34.6;1
200709;36.8;1
200710;52.6;1
200711;5.8;1
200712;73.2;1
200801;93.2;1
200802;12.8;1
200803;83;1
200804;49.6;1
200805;130.8;1
200806;25.4;1
200807;18.6;1
200808;14.6;1
200809;35.7;1
200810;24.8;1
200811;160.8;1
200812;126.9;1
200901;104.4;1
200902;65;1
200903;31;1
200904;168.3;1
200905;32.4;1
200906;14.2;1
200907;5.4;1
200908;34.1;1
200909;7;1
200910;30.7;1
200911;52.8;1
200912;47.9;1
201001;85.5;1
201002;58.5;1
201003;77.9;1
201004;39.3;1
201005;179.6;1
201006;65.4;1
201007;11.2;1
201008;12.5;1
201009;30.4;1
201010;218.4;1
201011;41.6;1
201012;10.8;1
201101;67.2;1
201102;49.8;1
201103;160.6;1
201104;66.5;1
201105;24.5;1
201106;55.7;1
201107;61.2;1
201108;11.4;1
201109;12.8;1
201110;70;1
201111;108.4;1
201112;52.2;1
201201;40;1
201202;9.4;1
201203;51.3;1
201204;81.6;1
201205;49.6;1
201206;55.2;1
201207;27.9;1
201208;30.1;1
201209;74.6;1
201210;72.2;1
201211;41.9;1
201212;75.9;1
201301;128.6;1
201302;89.6;1
201303;155.9;1
201304;87.3;1
201305;100.8;1
201306;20.8;1
201307;21;1
201308;12.2;1
201309;53;1
201310;27.7;1
201311;220.1;1
201312;41.1;1
201401;97;1
201402;65;1
201403;52.8;1
201404;106.8;1
201405;39.4;1
201406;9;1
201407;57.6;1
201408;47.2;1
201409;66.3;1
201410;11;1
201411;169.7;1
201412;122.6;1
201501;50.8;1
201502;69.8;1
201503;109.8;1
201504;48.6;1
201505;16.2;1
201506;37.6;1
201507;13.9;1
201508;43.9;1
201509;15.4;1
201510;17.7;1
201511;82.5;1
201512;7.8;1
201601;68.1;1
201602;122.3;1
201603;74.3;1
201604;45.4;1
201605;82.3;1
201606;27.9;1
201607;7.8;1
201608;4;1
201609;20.8;1
201610;54.4;1
201611;65.9;1
201612;38;1
201701;82.5;1
201702;128.7;1
201703;147.3;1
201704;22.7;1
201705;51.5;1
201706;28;1
201707;23.7;1
201708;13.5;1
201709;23.4;1
201710;26.4;1
201711;17.4;1
201712;60.2;1
201801;141.7;0
201802;66.2;0
201803;131.2;0
201804;107.1;0
201805;159.2;0
201806;46.5;0
201807;89;0
201808;53.1;0
201809;6;0
201810;373.7;0
201811;66;0
201812;54;0
201901;90;0
201902;26.3;0
201903;16.3;0
201904;30.9;0
201905;66;0
201906;25.9;0
201907;41;0
201908;20.9;0
201909;85.4;0
201910;120.6;0
201911;87.7;0
201912;120.2;0
202001;138.8;0
202002;30.7;0
202003;83.9;0
202004;149.3;0
202005;108.1;0
202006;47.3;0
202007;20.5;0
202008;27.2;0
202009;73.4;0
202010;48.6;0
202011;71.4;0
202012;116.2;0
202101;81.2;0
202102;54.2;0
202103;14.6;0
202104;21.6;0
202105;37.4;0
202106;24.4;0
202107;34.2;0
202108;17.1;0
202109;80.6;0
202110;35.4;0
202111;190.1;0
202112;93.2;0
202201;90.8;0
202202;18.4;0
202203;92.4;0
202204;68.2;0
202205;10.2;0
202206;63.5;0
202207;5.2;0
202208;6.2;0
202209;53.7;0
202210;3.2;0
202211;88.9;0
202212;21.6;0
202301;87.2;0
202302;22;0
202303;63.1;0
202304;57.1;0
202305;84.9;0
202306;63.1;0
202307;19;0
202308;13.8;0
202309;13.3;0
202310;21.6;0
202311;61.6;0
202312;42.2;0
202401;33;0
202402;85.1;0
202403;36.8;0
202404;70.8;0
202405;76.1;0
202406;15;0
202407;20.3;0
202408;37.4;0
202409;24.4;0
202410;68.4;0
202411;29.8;0
202412;57.2;0
